% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.513936802e+06 +4.513936802e+06 +4.513881862e+06 +4.513881862e+06 +4.0635e-01 -2.5051e-01 -3.3721e+00 +3.5191e+00 -2.1458e+00 -1.1184e+00 +1.1885e+00 -8.9275e-02 -2.8007e+00 -3.8517e+00 +3.7135e-01 +9.1034e-01 +1.3334e+00 -3.1703e+00 -1.5438e+00 -2.0974e+00 -2.5512e-01 -2.6373e+00 +1.6313e+00 -2.5401e-01
24 +3.177146469e+06 +3.177146469e+06 +3.177091529e+06 +3.177091529e+06 -4.1518e+00 -1.1854e+00 -2.6574e+00 +3.9153e+00 -1.3954e+00 -4.8399e-01 +3.1987e+00 -2.3302e+00 -2.9908e+00 -2.2375e+00 +3.8564e-01 +1.1747e+00 +4.8711e+00 -4.1485e+00 -1.9682e+00 -2.6388e+00 -1.2617e-01 -7.8923e-01 +2.7994e+00 +2.2584e-02
28 +9.423325724e+05 +9.423325724e+05 +9.422776324e+05 +9.422776324e+05 -3.5362e+00 -2.2324e+00 -4.5177e+00 +3.4407e+00 -2.7670e+00 -2.7229e+00 +8.4480e-01 -1.8348e-01 -1.3885e+00 -9.0354e-01 -6.3816e-02 +2.8536e+00 +9.2050e-01 -2.2705e+00 +2.7588e-01 -4.5317e+00 +1.8030e-01 -3.0400e-01 +3.2893e-01 -7.2891e-01
279 +4.079194970e+05 +4.079194970e+05 +4.078645570e+05 +4.078645570e+05 -6.9763e-01 -8.5621e-01 -8.1990e-01 +4.5800e+00 -3.1637e+00 -3.3536e+00 +6.0677e+00 +1.5604e+00 -3.2695e+00 +1.6327e+00 -1.2265e+00 +1.0822e+00 -1.8361e-01 -3.9072e+00 +2.3919e+00 +4.6639e-01 +6.9863e-01 +2.3186e+00 -1.0954e+00 +1.9781e+00
420 +3.743461797e+05 +3.743461797e+05 +3.742912397e+05 +3.742912397e+05 -4.8816e+00 -2.6442e+00 -1.0434e+00 +6.8713e+00 -4.0043e+00 -5.8329e+00 +4.8290e+00 -6.8866e-02 -1.8841e+00 +1.5010e+00 +2.3360e+00 +2.0145e+00 +9.1722e-02 -3.1827e+00 +6.0444e+00 -9.8937e-01 -5.0247e-01 +1.4715e+00 -1.6112e+00 -7.0905e-01
456 +2.480421060e+05 +2.480421060e+05 +2.479871660e+05 +2.479871660e+05 -5.2026e+00 -4.1437e+00 -1.2305e+00 +5.8696e+00 -1.7452e+00 -5.4286e+00 +3.4843e+00 +1.4683e+00 -2.0479e+00 +2.1008e+00 +4.1347e+00 +2.5225e+00 +3.0966e-01 -4.8790e+00 +6.7232e+00 -3.6198e-01 +5.0164e-01 -2.6914e-01 +7.4779e-01 +5.1842e-01
608 +1.544836744e+05 +1.544836744e+05 +1.544287344e+05 +1.544287344e+05 -5.2272e+00 -2.3508e+00 -1.0787e+00 +6.0850e+00 -3.6407e+00 -6.4042e+00 +4.7616e+00 +9.1049e-01 -1.6092e+00 +3.4780e+00 +3.6466e+00 +1.8381e+00 +2.1883e+00 -6.6444e+00 +5.1772e+00 +6.7384e-01 +6.5260e-01 -1.7381e-01 -2.3869e-01 -2.8112e-02
757 +8.478265711e+04 +8.478265711e+04 +8.472771711e+04 +8.472771711e+04 -4.3369e+00 -1.9464e+00 -9.1095e-01 +5.6499e+00 -2.5524e+00 -7.7530e+00 +6.0594e+00 +4.1159e-02 -1.9845e+00 +3.9259e+00 +2.9487e+00 +3.8797e+00 +1.1194e+00 -4.4203e+00 +5.0059e+00 -9.6476e-01 +1.0658e+00 -2.0811e-02 +6.5716e-01 -1.5500e+00
1021 +5.210237880e+04 +5.210237880e+04 +5.204743880e+04 +5.204743880e+04 -4.7468e+00 -1.0351e+00 -1.3387e+00 +5.9832e+00 -2.4876e+00 -5.9167e+00 +6.1141e+00 +7.7104e-01 -1.7997e+00 +2.4304e+00 +2.7233e+00 +2.4019e+00 +1.2063e+00 -5.9764e+00 +5.4258e+00 +7.5148e-01 +1.7071e+00 +2.9530e-01 -4.0792e-03 -7.3442e-01
1171 +3.351619537e+04 +3.351619537e+04 +3.346125537e+04 +3.346125537e+04 -4.5196e+00 -7.0555e-01 -1.2531e+00 +6.1105e+00 -1.3919e+00 -6.0918e+00 +6.3320e+00 +9.1405e-01 -2.2297e+00 +2.7521e+00 +2.8224e+00 +2.9228e+00 +2.0276e+00 -6.8058e+00 +5.7929e+00 +1.0553e+00 +2.1762e+00 -1.1325e+00 -3.4744e-01 -2.6465e-01
1523 +2.496330653e+04 +2.496330653e+04 +2.490836653e+04 +2.490836653e+04 -4.6786e+00 -1.8995e-01 -1.3033e+00 +6.4690e+00 -1.9492e+00 -7.1660e+00 +6.1961e+00 +4.3726e-01 -2.4512e+00 +3.0772e+00 +2.9112e+00 +2.0019e+00 +1.5964e+00 -7.2791e+00 +6.0484e+00 +1.9008e+00 +2.5251e+00 -1.0721e+00 -1.3495e-01 -7.5409e-01
2082 +1.577883405e+04 +1.577883405e+04 +1.572389405e+04 +1.572389405e+04 -4.8377e+00 -2.1346e-01 -9.2681e-01 +6.3878e+00 -1.9131e+00 -7.4603e+00 +5.8335e+00 -6.2041e-02 -3.3298e+00 +3.2518e+00 +3.7143e+00 +1.6781e+00 +1.4860e+00 -7.4347e+00 +6.8232e+00 +1.7273e+00 +2.5981e+00 -1.2014e+00 +1.0930e+00 -5.8734e-01
2880 +9.330248899e+03 +9.330248899e+03 +9.275308899e+03 +9.275308899e+03 -4.1596e+00 -5.2558e-01 -5.2955e-01 +6.6673e+00 -1.8749e+00 -7.2146e+00 +5.6312e+00 -1.7551e-01 -4.2905e+00 +3.9711e+00 +3.6349e+00 +1.7686e+00 +1.3029e+00 -6.9496e+00 +7.1133e+00 +2.2106e+00 +2.2208e+00 -9.5556e-01 +1.8992e+00 -5.0105e-01
