% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.324644163e+05 +2.324644163e+05 +2.325882463e+05 +2.325882463e+05 -2.2682e+00 -2.6822e+00 +2.0354e+00 -1.5180e-01 +6.6990e-01 +9.1328e-01 +1.3056e-01 +3.2389e+00 -3.3600e+00 +3.4887e+00 +1.1420e+00 -1.0918e+00 -3.4796e-01 +2.1635e+00 +3.3257e+00 +3.1069e+00 -3.1148e+00 -1.8199e+00 -1.8688e+00 +3.7308e+00
14 +4.934840198e+04 +4.934840198e+04 +4.947223198e+04 +4.947223198e+04 -8.1487e-01 -2.1209e+00 -3.0875e-01 +3.9261e-01 -1.1814e+00 +2.3949e-01 -5.2329e-01 +3.6957e+00 +9.8531e-01 +2.0703e+00 -2.2517e-01 -2.2713e+00 +2.7576e-01 +1.4611e+00 +2.8628e+00 +2.9358e-01 -3.4109e+00 +6.0093e-01 -3.4829e+00 -1.0542e+00
37 +2.686380801e+04 +2.686380801e+04 +2.698763801e+04 +2.698763801e+04 -1.9411e+00 -5.4276e-01 -3.5127e-01 -6.1976e-01 -4.3064e+00 +1.0706e+00 -1.3179e+00 +5.7214e-01 -3.8264e-02 -1.4613e+00 +2.7895e+00 +4.0418e-01 +9.2746e-01 -5.4214e-02 +6.2185e-01 +3.7998e+00 -7.4831e-01 +2.6123e+00 -1.3286e+00 +2.7611e+00
151 +2.369015383e+04 +2.369015383e+04 +2.381398383e+04 +2.381398383e+04 +2.3837e+00 -2.2648e+00 -4.8114e-01 -4.1099e-01 -3.1525e+00 +3.7234e-01 -1.3193e-01 +3.0357e+00 +5.0865e-01 -3.1009e+00 +2.9049e+00 +1.4686e+00 -5.7851e-01 -1.9616e-01 -1.1595e+00 +4.9882e+00 +6.8539e-01 +1.0584e+00 -3.2334e+00 -7.5456e-01
195 +1.510855672e+04 +1.510855672e+04 +1.523238672e+04 +1.523238672e+04 +9.8240e-01 -2.4360e+00 +1.7102e+00 +1.0932e+00 -2.4290e+00 -2.0691e+00 -9.1725e-01 +2.0177e+00 -3.3589e-01 -5.6278e-01 +2.9064e+00 -2.8142e-01 -3.2834e-01 -4.5014e-01 +2.4452e-02 +3.3618e+00 -2.6022e-01 +1.5505e+00 -2.4659e+00 +4.9161e-01
243 +9.937770328e+03 +9.937770328e+03 +1.006160033e+04 +1.006160033e+04 +1.5441e+00 -2.5541e+00 +1.7352e+00 +1.0269e-02 -2.4652e+00 -1.9144e+00 -5.4289e-01 +2.0006e-02 -1.5884e-01 -2.2080e+00 +1.8046e+00 -2.9797e-02 -1.7946e-01 -2.1422e-02 -1.4589e-01 +3.6038e+00 -2.3050e+00 -3.0188e-01 -1.2253e+00 +1.1617e+00
289 +4.836165583e+03 +4.836165583e+03 +4.959995583e+03 +4.959995583e+03 +3.9492e-01 -2.3496e+00 +8.3272e-01 -8.0498e-01 -1.9018e+00 -6.8028e-01 +6.9890e-02 +1.3146e+00 -4.0613e-01 -2.7380e+00 +1.8004e+00 +1.3457e+00 +1.5154e+00 -6.2047e-01 -1.1027e+00 +1.5132e+00 -1.3620e+00 -4.1958e-01 -5.9318e-01 +2.2238e-01
319 +3.857669005e+03 +3.857669005e+03 +3.981499005e+03 +3.981499005e+03 +5.8930e-01 -2.0154e+00 -6.4177e-01 -5.4562e-01 -9.0879e-01 -5.3549e-01 +6.1273e-01 +2.2884e+00 +5.2669e-02 -2.4241e+00 +8.5987e-01 +9.2639e-01 +5.7255e-01 +3.0817e-01 +1.1987e+00 +3.5747e+00 -1.3167e+00 -2.2145e-01 -4.5885e-02 -2.1960e-01
371 +1.805937911e+03 +1.805937911e+03 +1.929767911e+03 +1.929767911e+03 -3.0714e-01 -6.2216e-01 +4.8040e-01 -2.3826e-01 -8.0385e-01 -8.7695e-01 -1.7089e-01 +9.4858e-01 -1.8447e-01 -2.0818e+00 +5.7704e-01 +3.7259e-01 -1.1729e+00 +5.8604e-02 +9.8590e-01 +2.2538e+00 -8.4312e-01 -6.8034e-02 -4.4611e-01 +1.1650e+00
381 +1.374913354e+03 +1.374913354e+03 +1.498743354e+03 +1.498743354e+03 -8.2664e-01 -1.7292e+00 +7.7146e-01 -6.3903e-01 -2.9618e-01 -5.0606e-01 +2.6995e-01 +5.1363e-01 +2.4792e-01 -1.7243e+00 +1.3404e+00 +8.0794e-01 +6.1581e-01 -3.6771e-01 +2.9407e-01 +1.4728e+00 -1.5118e+00 -1.4630e-01 +4.1383e-01 +1.0301e+00
