% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.406568866e+07 +1.406568866e+07 +1.406547878e+07 +1.406547878e+07 -1.1813e+00 -6.6978e-01 -3.0028e+00 +2.9377e+00 +3.7337e+00 -2.0843e+00 -3.2408e+00 -2.6751e-01 -3.3850e+00 +4.7035e-01 +2.5093e-01 -3.7011e+00 +2.0950e+00 -2.8316e+00 -1.7139e+00 -4.2504e-01 -3.5810e+00 +1.6787e+00 +2.2366e+00 +3.6505e+00
6 +6.393240644e+06 +6.393240644e+06 +6.393030764e+06 +6.393030764e+06 +6.5190e-02 +9.2832e-01 -1.1211e+00 +9.5350e-01 +4.1578e+00 -1.6085e+00 -5.2563e+00 -1.7516e+00 -1.2204e+00 +2.0735e-01 +1.0307e+00 -3.5251e+00 +8.2406e-01 -3.9507e+00 -8.2657e-01 -2.3248e+00 -2.0187e+00 +2.8166e+00 +5.9319e-01 +3.1192e+00
19 +3.554407186e+06 +3.554407186e+06 +3.554197306e+06 +3.554197306e+06 -3.9525e+00 -1.1064e+00 -1.7309e+00 +5.1825e+00 +1.4988e+00 -3.9641e+00 -2.6663e+00 -5.3731e-01 -4.9288e+00 -4.2506e-01 -2.4861e+00 -2.7077e+00 +9.9194e-01 -1.0928e+00 -1.2674e+00 -2.3366e+00 -3.0591e+00 +4.2258e+00 -2.3536e-01 +2.7180e+00
31 +2.510766016e+06 +2.510766016e+06 +2.510556136e+06 +2.510556136e+06 -4.9473e-01 -1.4838e+00 -3.3467e+00 +1.5650e+00 +2.1071e+00 -2.8691e-01 -5.4075e+00 -1.5225e+00 -1.9807e+00 -3.2641e+00 -4.1041e+00 -5.1144e+00 +8.9764e-01 -5.9854e+00 -1.9795e-01 -1.4488e+00 -7.1569e-01 +2.2588e+00 -1.6664e+00 +2.7430e+00
39 +9.847280919e+05 +9.847280919e+05 +9.845182119e+05 +9.845182119e+05 -2.2743e+00 +9.0446e-01 -2.6314e-01 -1.5645e-01 +2.2755e+00 -1.6732e+00 -6.8350e+00 -4.1407e+00 -1.4408e+00 -4.6966e-01 -1.8343e-01 -2.6606e+00 +3.1664e+00 -1.9191e+00 -2.3046e+00 -1.3719e+00 -2.5162e+00 +3.1168e+00 -2.0973e+00 +2.5528e+00
233 +5.374076091e+05 +5.374076091e+05 +5.371977291e+05 +5.371977291e+05 -4.7653e+00 +4.5210e-01 -2.5657e+00 -1.2843e+00 +3.8680e+00 -2.7538e+00 -2.7177e+00 -4.3569e+00 -2.7187e+00 -4.1022e+00 +1.3554e-01 -2.7913e+00 +1.4963e+00 -1.4450e+00 -1.4585e+00 -2.1460e+00 -3.9936e+00 +2.8337e+00 -2.3183e+00 +1.5073e+00
296 +3.638486273e+05 +3.638486273e+05 +3.636387473e+05 +3.636387473e+05 -4.6255e+00 -1.0452e+00 -3.9221e+00 -3.6608e-01 +3.8171e+00 -1.2648e+00 -2.6555e+00 -4.4508e+00 -4.6977e+00 -2.5758e+00 -8.4300e-01 -2.2657e+00 +2.9560e-01 -1.0038e+00 -1.9584e+00 -2.5708e+00 -3.1276e+00 +3.3747e+00 -2.3895e+00 +2.1941e+00
342 +2.241866624e+05 +2.241866624e+05 +2.239767824e+05 +2.239767824e+05 -4.6843e+00 -8.4166e-01 -3.1081e+00 -2.8223e+00 +2.6195e+00 -7.3452e-01 -2.6124e+00 -4.5861e+00 -3.4163e+00 -7.3463e-01 -1.7798e-01 -8.1057e-01 +4.7482e-01 -2.4112e+00 -2.8322e+00 -3.3471e+00 -3.0129e+00 +3.0079e+00 -2.4011e+00 +2.1221e+00
379 +1.518791272e+05 +1.518791272e+05 +1.516692472e+05 +1.516692472e+05 -5.8909e+00 +7.4816e-01 -3.4975e+00 -2.5743e+00 +2.9475e+00 -6.9047e-01 -2.2560e+00 -5.6571e+00 -4.8245e+00 -1.6464e+00 +9.6586e-01 -9.6178e-01 +9.2791e-01 -1.1985e+00 -1.2699e+00 -3.6311e+00 -3.0552e+00 +3.0438e+00 -2.4824e+00 +2.1354e+00
630 +7.432312676e+04 +7.432312676e+04 +7.411324676e+04 +7.411324676e+04 -6.2872e+00 +2.4525e+00 -2.6538e+00 -5.3303e+00 +1.6383e+00 -1.9224e+00 -2.5403e+00 -4.0742e+00 -5.0874e+00 -1.8539e+00 -3.6810e-01 -6.1291e-01 +2.5486e+00 -1.2330e+00 -1.0155e+00 -3.4867e+00 -2.9026e+00 +2.9720e+00 -2.3393e+00 +1.9013e+00
892 +5.711240601e+04 +5.711240601e+04 +5.690252601e+04 +5.690252601e+04 -6.6928e+00 +1.7002e+00 -1.3862e+00 -5.1843e+00 +1.3596e+00 -1.9400e+00 -8.6278e-01 -3.7695e+00 -5.1837e+00 -1.5157e+00 -1.8132e-02 -3.6138e-01 +3.1954e+00 -9.5204e-01 -1.4929e+00 -4.1141e+00 -3.2427e+00 +3.0140e+00 -2.2863e+00 +1.8947e+00
1151 +3.660184058e+04 +3.660184058e+04 +3.639196058e+04 +3.639196058e+04 -7.0983e+00 +1.2451e+00 -8.5625e-01 -5.0090e+00 +9.5588e-01 -1.1938e+00 -8.1637e-01 -3.5162e+00 -4.5865e+00 -1.8972e+00 +7.2707e-01 +1.5352e-01 +3.4608e+00 -1.6035e+00 -1.2749e+00 -3.6315e+00 -3.0285e+00 +3.1049e+00 -2.3947e+00 +1.8735e+00
