% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.896572499e+02 +6.896572499e+02 +7.922672499e+02 +7.922672499e+02 -1.1565e+00 -3.2665e+00 -1.0602e+00 -2.7874e+00 -4.7964e-01 +1.2881e+00 -3.0560e-01 +2.9321e+00 -3.0064e+00 -1.2987e+00 -2.0428e+00 +2.3809e+00 +2.6888e+00 -4.3575e-01 +1.8665e+00 -3.9058e+00 -3.7687e+00 +2.7664e+00 -2.8710e+00 -2.5716e+00
65 +5.734548121e+02 +5.734548121e+02 +6.760648121e+02 +6.760648121e+02 -1.5410e+00 -4.8949e-01 -8.5135e-01 +5.0291e-01 -2.1615e+00 -5.4525e-01 -1.3486e+00 +1.9019e+00 -1.7913e+00 -9.1724e-01 +5.9781e-01 -1.7787e+00 +3.6416e+00 -3.4287e+00 +2.1650e+00 -1.6643e+00 +1.2913e+00 -1.9021e+00 -4.4411e+00 +5.1326e-01
110 +2.680358025e+02 +2.680358025e+02 +3.706458025e+02 +3.706458025e+02 +8.0690e-02 -1.6915e+00 +2.5628e+00 +4.3235e-01 -1.3838e+00 +1.3543e+00 +5.4545e-01 +1.6060e+00 +2.7585e+00 -5.2239e-01 +1.1442e+00 -1.4735e-01 +2.2871e+00 +2.0482e-01 +2.2039e+00 +2.4190e+00 +2.4814e+00 +5.0414e-01 -1.1541e+00 +7.1586e-01
238 +2.432811947e+02 +2.432811947e+02 +3.458911947e+02 +3.458911947e+02 -2.1246e+00 -1.4096e+00 +3.3955e+00 -4.2557e-01 +1.2653e+00 +2.3151e+00 +3.6116e-01 +7.6238e-01 +9.9403e-01 -4.2544e-01 +3.4990e+00 +1.2966e+00 +1.9263e+00 -2.0635e+00 +1.6104e+00 +2.2965e+00 +2.4160e+00 -2.9012e-01 -3.5386e-03 -3.1503e-01
461 +1.496600200e+02 +1.496600200e+02 +2.522700200e+02 +2.522700200e+02 -1.2770e+00 -2.4317e+00 +1.3111e+00 -1.2235e+00 +8.7152e-01 +1.6912e-01 +3.3592e-01 +8.7251e-01 +2.1654e+00 -1.4764e+00 +1.3329e+00 -3.4572e-01 +8.5767e-01 -1.6397e+00 +8.8054e-01 +2.5623e+00 +1.6459e+00 +1.0882e+00 -1.4673e+00 -1.5625e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.042487356e+02 +6.042487356e+02 +6.975487356e+02 +6.975487356e+02 -2.3874e+00 -3.3716e-01 +9.0299e-01 -6.4047e-01 +1.8041e+00 +3.5804e-01 +2.9790e+00 -1.7674e+00 +1.2651e-01 +3.2414e+00 +8.5284e-01 +1.4533e-01 +2.2286e+00 -1.8680e+00 -3.8566e+00 -2.1444e+00 -3.7164e+00 -1.2930e+00 -4.3185e-01 +3.8144e+00
30 +3.727211790e+02 +3.727211790e+02 +4.660211790e+02 +4.660211790e+02 -1.7531e+00 +3.5425e+00 +7.8846e-01 -9.9329e-01 +8.6432e-02 +4.6440e-01 -1.0004e+00 -2.8481e-01 +2.2789e+00 -1.4738e-01 -1.9489e+00 -3.9965e+00 -6.5736e-01 -1.7486e+00 -1.4316e+00 +1.7618e+00 -1.1265e+00 +2.9095e-01 +6.6960e-01 +1.6875e+00
226 +2.470627593e+02 +2.470627593e+02 +3.403627593e+02 +3.403627593e+02 -1.8517e+00 +7.0109e-01 +2.0891e+00 +9.8710e-01 -2.7766e-01 -5.7137e-01 +1.9718e+00 -1.3559e+00 +1.8402e-01 +2.0992e+00 -1.8403e+00 -2.8984e-01 -2.4582e+00 -6.4606e-01 -3.5408e-01 +1.3266e+00 -1.5930e-01 -1.8828e+00 +2.6985e+00 +1.5671e+00
1606 +1.409439551e+02 +1.409439551e+02 +2.342439551e+02 +2.342439551e+02 -2.3663e+00 +1.4049e+00 +1.5933e+00 +1.8571e-02 +6.8124e-01 -4.1155e-01 +3.8970e-01 -8.3002e-01 +1.5035e+00 +2.3660e+00 -1.4164e+00 -1.3643e+00 -3.1500e-01 -1.3427e+00 +1.0351e+00 +1.0238e+00 +1.7470e+00 -6.5667e-01 +1.5076e+00 +7.7526e-01
