% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.224395328e+10 +2.224395328e+10 +2.224395266e+10 +2.224395266e+10 +4.0985e+00 -2.9928e+00 +2.8424e-01 +3.6903e+00 +2.4989e+00 -2.6986e+00 -7.9760e-01 -5.0255e-01 +2.1761e+00 +3.0001e+00 -2.1475e+00 -4.2390e+00 +1.9658e-01 -9.8675e-01 -1.4858e+00 -4.8215e+00 -2.3521e+00 -4.0651e+00 -4.9181e+00 -2.1442e+00
2 +2.583767856e+09 +2.583767856e+09 +2.583767235e+09 +2.583767235e+09 +1.9218e+00 +2.6869e+00 +2.4737e+00 -3.1474e+00 -1.4422e+00 -1.3873e+00 -4.4513e+00 -3.4808e+00 -2.7830e+00 -9.1621e-01 -2.8465e+00 +6.6196e-01 +8.4317e-01 -6.7192e-01 -2.9148e+00 +2.6159e+00 +2.7253e+00 -3.5887e+00 +9.5272e-01 -2.6733e+00
4 +1.230908398e+09 +1.230908398e+09 +1.230907777e+09 +1.230907777e+09 +3.4238e+00 -2.1861e+00 -2.6578e+00 -4.1013e+00 -2.6310e+00 -4.9532e+00 +4.0113e+00 -2.0598e+00 -3.4721e+00 +3.8896e+00 +5.4296e-01 -4.0729e-01 +4.7232e+00 +1.0027e-01 +2.1996e-01 -4.9559e+00 +2.0549e-01 -3.0447e+00 +3.7440e+00 -4.6092e+00
10 +6.533266628e+08 +6.533266628e+08 +6.533260417e+08 +6.533260417e+08 -2.8612e+00 +4.6872e+00 -3.8045e+00 +4.5325e+00 -2.8169e+00 -3.4792e+00 -3.6955e+00 +8.5982e-01 +1.0853e+00 +2.4418e+00 -2.7338e+00 +2.5047e+00 +2.2950e+00 +3.5483e+00 +1.7404e+00 -2.6656e-01 -2.7820e+00 -2.6292e+00 +2.7419e-01 +1.1834e+00
21 +3.277999335e+08 +3.277999335e+08 +3.277993124e+08 +3.277993124e+08 -3.5664e+00 +4.7864e+00 -8.3443e-01 -2.7887e+00 -4.3144e+00 -4.4385e+00 -2.7063e+00 -3.1597e+00 +4.9709e+00 -2.0541e+00 -1.4274e+00 -6.2994e-02 -1.8779e+00 +1.5298e+00 +2.9971e+00 +2.5788e+00 +2.6775e+00 -4.6035e-02 +8.1359e-01 +7.4006e-01
24 +2.449670421e+08 +2.449670421e+08 +2.449664210e+08 +2.449664210e+08 +1.1410e-01 -1.9666e+00 -1.5713e+00 -3.8347e+00 +3.5700e+00 -3.4326e+00 +3.4655e+00 +4.4042e+00 +2.7675e+00 +3.3147e+00 +1.1197e+00 -2.5385e-01 +5.4816e-01 -2.5186e+00 -1.0423e+00 -1.4723e+00 +2.8200e-01 +2.4315e+00 +1.9711e-01 +1.2335e+00
313 +1.564616820e+08 +1.564616820e+08 +1.564610609e+08 +1.564610609e+08 -1.2202e-01 +2.3437e+00 -1.9033e+00 -8.7318e-01 -1.3757e-01 -1.1994e+00 +1.2142e+00 +5.4890e-01 +8.0590e+00 -9.2289e-03 +1.2924e+00 +2.9002e+00 +4.0166e+00 +2.9553e-01 +3.4596e+00 -8.1668e+00 +1.4113e+00 -1.6069e+00 -1.3265e+00 -1.6041e-02
2217 +8.049321609e+07 +8.049321609e+07 +8.049259498e+07 +8.049259498e+07 +1.6356e+00 +3.0878e+00 +3.2014e+00 -8.7318e-01 -1.3757e-01 -1.4152e+00 +2.3844e+00 +3.0465e+00 +4.3060e+00 +1.1175e+00 +1.2924e+00 +2.9002e+00 +1.1284e+00 -5.7942e-01 +3.4596e+00 -2.9021e+00 +1.0273e+00 +5.4121e+00 -9.1842e-01 -8.3364e-01
2502 +5.316014304e+07 +5.316014304e+07 +5.315952193e+07 +5.315952193e+07 +4.6513e-01 +4.0308e+00 -5.2868e-01 -2.5646e+00 -1.4336e+00 -1.6822e-01 +1.7554e+00 +9.1026e-01 +2.0314e+00 +1.8566e+00 -3.2183e-01 +2.2261e+00 +2.3070e+00 -2.6143e+00 +4.5697e+00 -3.6516e+00 -6.4433e-01 +3.1429e+00 +7.1036e-02 -1.8369e+00
3609 +3.524073788e+07 +3.524073788e+07 +3.524011677e+07 +3.524011677e+07 -5.7635e-02 +5.7693e+00 +3.7991e+00 -2.8857e+00 -3.6347e-01 -3.4326e+00 +3.5199e+00 +1.8807e+00 +1.8812e+00 +2.2705e+00 +1.1488e+00 +3.9173e+00 +3.2012e+00 +2.8676e+00 +1.3276e+00 -3.4508e+00 +1.5063e+00 +2.2269e+00 +1.7582e+00 -1.5216e-01
