% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.511136089e+02 +7.511136089e+02 +8.537236089e+02 +8.537236089e+02 -6.1841e-01 -5.2456e-01 +2.7036e+00 +1.0483e+00 -2.4322e+00 +4.6460e+00 +8.1867e-01 -8.9443e-01 -4.6722e+00 +1.7463e+00 +3.9342e+00 +4.8087e+00 +2.3433e+00 -2.8382e+00 +7.8896e-01 -4.3190e+00 -1.3430e+00 -1.4983e+00 -6.0211e-01 +3.9250e+00
3 +5.554107924e+02 +5.554107924e+02 +6.580207924e+02 +6.580207924e+02 +1.1763e+00 +3.7317e-01 -1.5094e+00 +2.3188e+00 -4.6439e+00 +1.9364e-01 +3.0519e+00 +1.6334e+00 -2.6220e+00 +4.6896e+00 +1.4458e+00 -4.7295e+00 -3.0209e+00 +1.7512e+00 +2.7404e+00 +7.7015e-02 -1.8360e+00 -5.0216e-01 -1.8349e+00 -2.2712e+00
1603 +3.307743003e+02 +3.307743003e+02 +4.333843003e+02 +4.333843003e+02 +1.9472e+00 -1.1742e+00 -5.2174e-01 -7.1801e-01 -6.1222e-01 -2.6302e+00 +8.7767e-01 +1.5201e+00 -1.2456e-01 +1.2057e+00 +5.0528e-01 -2.4193e+00 -1.0833e+00 +4.2743e-01 -1.4511e+00 -3.0612e+00 -2.6089e+00 -3.4221e+00 +2.5086e+00 -6.4383e-01
2828 +2.403043177e+02 +2.403043177e+02 +3.429143177e+02 +3.429143177e+02 +1.1272e+00 +3.8258e+00 +6.4063e-01 +2.6159e+00 +2.3247e-01 -4.6482e+00 -8.6249e-01 -1.1909e+00 -3.7400e+00 +2.4060e+00 -8.9319e-01 +4.8573e-01 -4.8392e-01 +1.0936e+00 -2.5048e+00 -2.0998e+00 -2.4597e+00 -4.2703e+00 +1.3995e+00 +6.0060e-01
27507 +1.572321947e+02 +1.572321947e+02 +2.598421947e+02 +2.598421947e+02 +1.1733e+00 +1.7955e+00 -2.8895e-01 +9.9077e-01 -4.5597e-01 -1.5171e+00 -8.1021e-01 -1.7766e+00 -2.2812e+00 +9.1823e-01 -9.2980e-01 -1.6551e+00 -1.3439e+00 +1.8438e+00 -1.0623e+00 -1.4453e+00 -1.8251e+00 -1.8933e+00 +9.4018e-01 +4.0398e-01
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.611609188e+02 +8.611609188e+02 +9.544609188e+02 +9.544609188e+02 +2.3589e+00 +3.2735e+00 -3.6897e+00 -4.8047e+00 +8.4523e-01 +4.3055e+00 -3.7243e+00 +4.5261e+00 +1.0705e+00 -4.7596e+00 +3.0301e+00 -3.6725e+00 -2.2530e+00 -2.7868e+00 +3.5645e+00 -7.8281e-01 +5.2289e-02 -4.9524e+00 -2.4598e+00 -8.7606e-01
7 +5.038761384e+02 +5.038761384e+02 +5.971761384e+02 +5.971761384e+02 +1.4587e+00 -1.4316e+00 -2.9355e-01 -3.0794e+00 +8.7759e-01 -1.9202e+00 -1.5897e+00 +2.2950e+00 +2.3302e+00 -1.9624e+00 +3.6248e+00 -1.1021e+00 +1.8262e+00 +2.2866e-01 -3.6601e+00 -2.1173e+00 +3.9531e+00 -2.2754e+00 +9.8028e-03 +8.0814e-01
1857 +3.851903062e+02 +3.851903062e+02 +4.784903062e+02 +4.784903062e+02 +2.2862e+00 -3.5774e+00 +1.3473e+00 -4.1563e+00 -2.5373e+00 +3.0815e+00 -3.3823e+00 +6.9024e-01 -3.7715e+00 +2.9820e+00 +4.1917e-01 +1.3133e+00 +9.8024e-01 -5.2272e-03 -1.4066e+00 -1.7225e+00 +9.2303e-01 +3.7269e-01 +2.0410e+00 -9.3288e-01
3560 +2.424721876e+02 +2.424721876e+02 +3.357721876e+02 +3.357721876e+02 +7.5858e-01 -1.4965e-01 -3.5088e-01 -8.4807e-01 -2.4530e+00 +1.9239e+00 -1.8039e-01 +1.1416e+00 -1.2997e+00 -3.0812e+00 +1.6626e+00 +3.7942e-01 +1.4529e+00 -1.1954e+00 -9.3718e-01 -2.0236e+00 -8.7798e-01 -6.6776e-02 -1.6646e+00 -1.3686e+00
23516 +1.437922627e+02 +1.437922627e+02 +2.370922627e+02 +2.370922627e+02 +3.2507e-01 -9.0343e-02 -3.3794e-01 +6.3807e-02 -7.0311e-01 +2.1905e+00 -1.9257e+00 +8.1047e-01 -2.0182e+00 -2.3636e+00 +1.4524e+00 +2.5550e-01 +9.5165e-01 +4.8101e-01 -7.4595e-01 -2.7184e+00 -7.0839e-01 +1.1509e+00 -2.2550e+00 -2.2601e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.538746617e+02 +7.538746617e+02 +7.675146617e+02 +7.675146617e+02 -3.2480e+00 +3.9941e+00 +1.8767e+00 -5.9758e-01 -1.1697e+00 -4.8218e+00 -6.5229e-01 -4.4350e+00 -4.9406e+00 -3.8300e+00 -7.5641e-01 -1.8442e+00 -3.7785e+00 +2.1056e+00 -1.9155e+00 +1.8273e+00 -2.9739e+00 -4.9147e+00 +5.4349e-01 -3.3016e+00
3 +5.330153719e+02 +5.330153719e+02 +5.466553719e+02 +5.466553719e+02 -1.4610e+00 +9.1251e-01 -1.6379e+00 +3.1906e+00 -2.2079e-01 -1.7723e+00 +1.4893e+00 +4.1841e-01 +1.8318e+00 -4.5386e+00 -2.1342e+00 -2.3200e+00 +2.6036e+00 -4.2780e+00 +8.1169e-01 -1.8873e+00 -4.4198e+00 -2.6237e+00 +4.1199e+00 -3.2587e+00
613 +3.833709233e+02 +3.833709233e+02 +3.970109233e+02 +3.970109233e+02 -1.8746e+00 +1.5176e+00 -1.6677e+00 -1.6991e+00 +2.3049e+00 -7.0370e-01 -2.2218e+00 -2.4290e+00 -2.1548e+00 -4.0902e+00 -2.4443e+00 +7.5497e-01 -3.0265e-01 +6.1128e-01 +4.6571e+00 -2.9932e-01 +3.6966e-01 -2.6814e+00 -4.1502e-01 +9.0654e-01
3326 +2.407613063e+02 +2.407613063e+02 +2.544013063e+02 +2.544013063e+02 -2.0310e+00 +2.8212e+00 -1.0555e-01 +1.7151e+00 +2.6646e+00 -7.6245e-01 -7.8941e-01 -2.9104e+00 -1.3700e+00 -1.2605e+00 -1.9426e+00 +2.5822e+00 +1.8502e-01 -1.0204e+00 +3.1447e-01 +2.2126e+00 -2.2845e+00 -1.8786e-01 +7.1690e-01 +2.2361e-01
19924 +1.573924623e+02 +1.573924623e+02 +1.710324623e+02 +1.710324623e+02 -1.5039e+00 -2.2536e-01 +1.9182e+00 +2.5590e+00 +1.5972e+00 -1.1580e+00 -1.1288e+00 -1.6242e-01 -9.1271e-01 -6.9341e-01 -1.9099e+00 +1.7671e+00 +1.7593e+00 -9.2905e-01 +1.1549e+00 -3.2402e+00 -2.5258e+00 -1.5374e+00 +1.8651e+00 +1.2456e+00
921655 +9.652913137e+01 +9.652913137e+01 +1.101691314e+02 +1.101691314e+02 -1.6269e+00 +1.3641e+00 +7.3412e-01 +2.1698e+00 +1.1309e+00 -1.2326e+00 -1.9076e-01 -1.1492e+00 -1.0389e+00 -1.4632e+00 -1.4340e+00 +6.7089e-01 +1.6542e+00 -1.3374e+00 +3.9795e-01 -1.7598e+00 -1.7092e+00 -1.0220e+00 +8.3641e-01 +1.0431e+00
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.984218091e+02 +7.984218091e+02 +9.932218091e+02 +9.932218091e+02 -1.3284e+00 -3.1794e+00 +3.2754e+00 +2.5809e+00 -1.6144e+00 +1.1903e+00 -1.1471e-01 +1.9284e+00 +6.5364e-01 +4.2383e+00 +4.7194e+00 +3.9439e+00 -2.1258e+00 +3.5350e+00 +3.7364e+00 +2.8462e+00 -1.0763e+00 +9.4658e-01 +2.7438e+00 +2.3790e-01
11 +5.607526658e+02 +5.607526658e+02 +7.555526658e+02 +7.555526658e+02 +4.8990e+00 +2.2143e+00 -2.5823e+00 -3.2395e+00 -4.1841e-01 -2.7950e+00 -1.2664e+00 +1.2542e+00 +3.6870e+00 +2.8077e+00 -1.5903e+00 +2.8870e-02 +1.7420e+00 +2.0732e+00 +1.1224e+00 -4.3656e-01 +1.4832e-01 -2.1074e+00 +9.0008e-01 +1.4240e+00
1303 +3.726975367e+02 +3.726975367e+02 +5.674975367e+02 +5.674975367e+02 +9.8175e-01 +3.5052e+00 +3.5228e+00 +1.0624e+00 -1.7941e-01 -1.8268e+00 -1.4393e-01 +3.9686e+00 -2.4563e+00 -1.2866e+00 +3.2760e+00 +7.1271e-01 +7.5156e-01 -3.2783e-01 -1.8786e+00 +6.8733e-01 -1.5997e+00 +9.8214e-01 +1.1649e+00 +3.1743e+00
