% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.055260610e+02 +1.055260610e+02 +1.768760610e+02 +1.768760610e+02 +4.5013e+00 -3.0657e+00 +8.2792e-01 -4.8575e-01 -6.0209e-01 -1.2411e+00 -1.3969e+00 +4.0899e+00 -2.1406e+00 -4.5095e+00 -4.8514e+00 +3.2803e+00 +3.9520e+00 +2.7209e+00 +1.0153e-01 +4.4251e+00 -3.0100e+00 -4.3172e+00 -4.7281e+00 -2.3679e+00
2 +8.227697031e+01 +8.227697031e+01 +1.536269703e+02 +1.536269703e+02 -2.6886e+00 +1.8222e+00 -7.6504e-01 -4.5610e+00 -1.5995e+00 -4.9012e+00 +4.8513e-01 +9.6247e-01 -1.0587e+00 +2.5534e+00 -2.1181e+00 +4.1756e+00 +4.4239e+00 -1.2018e+00 +2.1396e+00 +2.7015e+00 +1.7427e+00 -3.7477e+00 +2.9367e+00 +2.1379e+00
3 +5.583894232e+01 +5.583894232e+01 +1.271889423e+02 +1.271889423e+02 +1.0684e+00 -1.9724e+00 +1.5512e-01 -4.7281e+00 -1.8578e+00 -8.0142e-01 -2.3823e+00 -1.7104e+00 +3.0145e-02 +3.9481e+00 +3.1673e+00 -3.8692e+00 -1.6492e+00 -5.8415e-01 +1.5208e-01 +2.3740e+00 +4.2710e+00 -3.3385e+00 +4.9923e+00 +4.7760e+00
159 +3.768375583e+01 +3.768375583e+01 +1.090337558e+02 +1.090337558e+02 -2.4576e-01 +3.8054e+00 -2.8967e+00 -3.7925e+00 +1.9004e-01 -3.2185e-01 +4.5646e-01 +1.9151e+00 -7.9116e-01 -2.7418e+00 +2.5572e+00 -2.4079e+00 +3.0926e-01 +3.2487e+00 +2.3881e+00 +3.3027e+00 +1.5056e-01 +2.5674e+00 -3.2239e+00 -1.2511e+00
2135 +1.899231063e+01 +1.899231063e+01 +9.034231063e+01 +9.034231063e+01 +1.1936e+00 +3.3594e+00 +2.5760e+00 -1.2680e+00 +6.3858e-01 +3.1160e+00 -7.5404e-01 -3.8644e+00 +3.1867e+00 -3.1142e+00 +3.8472e-01 +2.0626e+00 -2.5872e+00 -4.6021e-01 +9.6010e-02 -8.7002e-01 +5.0000e+00 +2.2320e+00 -2.9249e+00 -3.1548e+00
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.597251617e+02 +1.597251617e+02 -1.954948383e+02 -1.954948383e+02 +4.5013e+00 -3.0657e+00 +8.2792e-01 -4.8575e-01 -6.0209e-01 -1.2411e+00 -1.3969e+00 +4.0899e+00 -2.1406e+00 -4.5095e+00 -4.8514e+00 +3.2803e+00 +3.9520e+00 +2.7209e+00 +1.0153e-01 +4.4251e+00 -3.0100e+00 -4.3172e+00 -4.7281e+00 -2.3679e+00
2 +8.582250589e+01 +8.582250589e+01 -2.693974941e+02 -2.693974941e+02 -2.6886e+00 +1.8222e+00 -7.6504e-01 -4.5610e+00 -1.5995e+00 -4.9012e+00 +4.8513e-01 +9.6247e-01 -1.0587e+00 +2.5534e+00 -2.1181e+00 +4.1756e+00 +4.4239e+00 -1.2018e+00 +2.1396e+00 +2.7015e+00 +1.7427e+00 -3.7477e+00 +2.9367e+00 +2.1379e+00
4 +6.076293335e+01 +6.076293335e+01 -2.944570666e+02 -2.944570666e+02 -1.4018e-01 +4.1674e-01 -1.6605e+00 -1.8731e+00 -1.3492e+00 +2.5367e+00 +9.7345e-01 -2.1806e-01 +2.2198e+00 -2.1385e+00 +4.8548e+00 +3.1213e+00 -6.2636e-01 -1.6940e-01 +1.0587e+00 +3.6626e+00 -1.5618e+00 +4.1142e+00 -3.8976e+00 +1.3712e+00
28 +3.250057018e+01 +3.250057018e+01 -3.227194298e+02 -3.227194298e+02 +1.0379e+00 -5.5120e-01 +2.8886e+00 +2.2751e+00 -3.3397e+00 -7.4747e-01 -1.6424e+00 +1.4001e+00 -5.4693e-01 -1.2494e+00 +2.7908e+00 +4.9265e+00 -4.6758e+00 +2.4745e-01 -4.9314e+00 -2.0120e+00 +3.0683e+00 +4.7106e+00 -4.3906e+00 -3.3888e+00
