% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.875713299e+05 +2.875713299e+05 +2.870248299e+05 +2.870248299e+05 +4.5013e+00 -3.0657e+00 +8.2792e-01 -4.8575e-01 -6.0209e-01 -1.2411e+00 -1.3969e+00 +4.0899e+00 -2.1406e+00 -4.5095e+00 -4.8514e+00 +3.2803e+00 +3.9520e+00 +2.7209e+00 +1.0153e-01 +4.4251e+00 -3.0100e+00 -4.3172e+00 -4.7281e+00 -2.3679e+00
2 +8.068026020e+04 +8.068026020e+04 +8.013376020e+04 +8.013376020e+04 -2.6886e+00 +1.8222e+00 -7.6504e-01 -4.5610e+00 -1.5995e+00 -4.9012e+00 +4.8513e-01 +9.6247e-01 -1.0587e+00 +2.5534e+00 -2.1181e+00 +4.1756e+00 +4.4239e+00 -1.2018e+00 +2.1396e+00 +2.7015e+00 +1.7427e+00 -3.7477e+00 +2.9367e+00 +2.1379e+00
12 +2.938280563e+04 +2.938280563e+04 +2.883630563e+04 +2.883630563e+04 +2.9194e+00 +3.9977e+00 -1.2018e+00 -4.8424e+00 -2.3555e+00 +4.0481e+00 +1.3427e+00 +1.1011e+00 -2.1837e+00 -4.4908e-01 +2.5363e+00 +1.6316e+00 -2.1472e+00 -3.4266e+00 +1.6785e+00 -3.6933e+00 +2.0102e+00 -1.7014e+00 -2.5894e+00 -1.3075e-01
164 +2.383767118e+04 +2.383767118e+04 +2.329117118e+04 +2.329117118e+04 +3.1214e+00 +1.8836e-01 +1.9276e+00 -5.9676e-02 +1.9910e+00 -2.1604e+00 +9.9125e-01 +2.1386e+00 -1.9348e+00 -5.3493e-01 -2.6294e+00 +2.4209e+00 -2.2941e-01 +1.4718e+00 +3.1873e+00 -9.5112e-01 +1.5490e+00 -8.9409e-01 -1.2714e+00 +3.4709e+00
202 +1.246637032e+04 +1.246637032e+04 +1.191987032e+04 +1.191987032e+04 -3.1973e+00 +5.7231e-01 -4.4915e-01 +3.0728e+00 -3.9011e-01 -2.6504e+00 +1.8748e+00 +2.7222e+00 -7.3388e-01 -3.6998e-01 -1.5170e+00 +2.4281e+00 +2.4155e+00 -2.1853e+00 +2.3906e+00 +3.5852e-01 +2.2677e+00 -2.9866e+00 +5.6447e-01 +1.9564e+00
251 +6.301793791e+03 +6.301793791e+03 +5.755293791e+03 +5.755293791e+03 -1.3054e+00 -1.4486e+00 -2.3858e+00 +3.1533e+00 +3.6658e+00 -3.2492e+00 +1.5465e+00 +3.4463e+00 +0.0000e+00 +1.8237e+00 +0.0000e+00 -2.3413e-01 +2.3188e+00 -4.8747e-01 +2.9466e+00 -1.7701e+00 +1.8314e+00 -1.7637e+00 -7.2111e-01 +1.2174e+00
633 +3.326510413e+03 +3.326510413e+03 +2.780010413e+03 +2.780010413e+03 +0.0000e+00 -2.1321e+00 +2.5436e-01 +9.8925e-01 +2.5393e+00 -3.7790e+00 +1.4679e+00 +1.0309e+00 -1.1885e+00 +2.2260e+00 -9.1580e-02 -5.5472e-02 +6.0488e-01 -2.4469e+00 +2.0340e+00 -1.7959e+00 +2.7052e+00 -2.1543e+00 -2.2115e+00 +2.7107e+00
654 +1.352677988e+03 +1.352677988e+03 +8.061779879e+02 +8.061779879e+02 -2.4349e+00 -1.7741e+00 -3.9766e-01 -6.4095e-01 +3.1160e+00 -2.8761e+00 +4.9661e-01 -3.9682e-01 +0.0000e+00 +2.6650e+00 +8.7621e-01 -3.2886e-01 +2.5749e+00 -1.4255e+00 +2.1378e+00 -1.4053e+00 +2.4773e+00 -2.6056e+00 -2.0868e+00 +1.6062e+00
921 +8.268895900e+02 +8.268895900e+02 +2.803895900e+02 +2.803895900e+02 -2.2245e+00 -3.0147e+00 -4.1885e-01 -1.2373e+00 +2.6505e+00 -2.7935e+00 +6.2243e-01 -4.1552e-01 +2.5020e-01 +1.6190e+00 +1.6870e+00 -5.1150e-01 +2.9112e+00 -1.2465e+00 +2.1534e+00 -1.3822e+00 +1.7698e+00 -2.5144e+00 -1.6984e+00 +1.5682e+00
1040 +5.353471301e+02 +5.353471301e+02 -1.115286994e+01 -1.115286994e+01 +2.0537e+00 -1.9671e+00 +1.4993e+00 -1.9045e+00 +2.4843e+00 -1.6565e+00 -3.4693e-01 -5.6011e-01 +5.2213e-01 +2.7859e-01 +2.5304e+00 -1.5606e-01 +2.9917e+00 -1.8817e+00 +1.6374e+00 -7.4697e-01 +2.4916e+00 -1.9277e+00 -1.6606e+00 +1.5027e+00
