% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.280738091e+03 +1.280738091e+03 +2.280738091e+03 +2.280738091e+03 -1.9998e+00 +5.2706e-01 +3.4216e-01 +2.7124e+00 -1.9686e+00 -1.7089e+00 +2.8172e+00 +5.3808e-01 -1.7454e+00 -4.7286e+00 +3.3192e+00 +4.5961e-01 -4.8092e+00 +4.4803e+00 +1.8455e+00 +3.1374e+00 +8.8083e-01 +3.8849e-01 +2.9784e+00 -4.9883e+00
3 +9.774987575e+02 +9.774987575e+02 +1.977498758e+03 +1.977498758e+03 +3.8895e+00 +3.2875e-01 -2.7974e+00 -9.9825e-02 +1.7442e+00 -2.6110e+00 -7.0005e-01 +1.3092e+00 +7.1478e-01 +3.0106e+00 -2.4056e+00 +2.2062e-02 -3.5233e+00 -2.5745e+00 +2.4043e+00 -4.8332e+00 +2.0698e+00 +2.3714e+00 -4.3739e+00 +9.2201e-01
59 +5.574404691e+02 +5.574404691e+02 +1.557440469e+03 +1.557440469e+03 -1.2744e+00 +9.5345e-01 +4.5830e+00 +3.9287e+00 +3.6472e+00 +1.0619e+00 -2.4629e+00 +3.3945e-01 -5.0418e-02 -1.7965e+00 -2.9721e+00 +3.3881e-01 +2.2118e+00 -9.1288e-01 +1.1663e+00 +1.1934e+00 +8.3468e-02 +1.5349e-01 -2.4017e+00 -5.0000e+00
162 +3.579604759e+02 +3.579604759e+02 +1.357960476e+03 +1.357960476e+03 -9.7001e-01 +4.1185e+00 +2.7860e+00 +9.5263e-01 +3.0469e+00 +0.0000e+00 -9.9587e-01 -4.9288e+00 -2.1265e+00 -2.6776e+00 -1.3347e+00 -1.3123e+00 -1.3498e+00 -4.5746e+00 +3.1640e+00 +2.4644e+00 +3.5809e+00 +4.5893e-01 +1.2676e+00 -4.1880e+00
544 +2.490020364e+02 +2.490020364e+02 +1.249002036e+03 +1.249002036e+03 -2.7253e+00 +4.8176e+00 +5.0000e+00 +6.9496e-01 +3.3485e+00 -1.7818e+00 -2.6460e+00 -4.9910e+00 -1.4585e+00 -1.9280e+00 -1.8063e+00 -6.3441e-01 +1.4211e-01 -4.6510e+00 +3.2914e+00 +3.3359e+00 +3.5466e+00 -5.5888e-01 +1.4198e+00 -3.8015e+00
4987 +1.582136846e+02 +1.582136846e+02 +1.158213685e+03 +1.158213685e+03 -2.9500e+00 +4.8222e+00 +4.9707e+00 +8.8990e-01 +3.1675e+00 -2.2354e+00 -2.8416e+00 -4.9866e+00 -2.0211e+00 -8.2724e-01 -1.8453e+00 -5.7057e-01 -1.3371e+00 -4.8276e+00 +3.5768e+00 +3.3085e+00 +3.5112e+00 -1.6869e+00 +1.6132e+00 -3.6189e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.784704982e+03 +2.784704982e+03 +2.854734982e+03 +2.854734982e+03 +4.4556e+00 +3.3717e+00 -7.3218e-01 -3.7143e+00 +2.7308e-01 +8.6539e-01 -3.6372e+00 +8.7316e-01 +1.5879e+00 -4.7729e+00 +2.2793e+00 +1.1594e+00 -4.2146e+00 -4.8635e+00 -4.5084e+00 -1.2610e+00 +1.9943e+00 +9.7461e-01 -9.1193e-01 +4.4239e+00
2 +1.681486963e+03 +1.681486963e+03 +1.751516963e+03 +1.751516963e+03 -2.7997e+00 +3.1608e+00 -6.5918e-01 +6.6987e-01 +1.8374e+00 +1.3882e+00 +2.4755e+00 +3.6657e+00 +1.1663e+00 -1.7861e+00 +4.2252e+00 -1.3081e+00 -1.0563e+00 -4.8548e+00 +3.5785e+00 -3.2276e+00 -1.2445e+00 -3.0644e+00 -2.2916e+00 -3.2643e+00
4 +1.036605957e+03 +1.036605957e+03 +1.106635957e+03 +1.106635957e+03 +1.2751e+00 -1.9341e+00 -2.0467e+00 +4.4705e+00 -3.7792e+00 -4.1141e+00 +9.3698e-01 +4.1275e-01 -4.1479e+00 -4.2132e+00 -2.6888e+00 +8.1834e-01 -1.3269e+00 -4.2851e+00 +4.3706e+00 -1.9775e+00 -2.3433e+00 +1.4130e+00 -3.6987e+00 -4.3782e+00
5 +9.726844453e+02 +9.726844453e+02 +1.042714445e+03 +1.042714445e+03 +1.9546e+00 -2.0903e+00 -7.5146e-01 +3.5598e+00 -1.6379e+00 -2.8357e+00 +3.1336e+00 -2.9595e-01 -1.2667e+00 +3.7316e+00 -4.2563e+00 +1.4098e+00 +4.1186e+00 -2.7195e+00 +4.2103e+00 -3.1379e+00 -1.2736e+00 -4.8705e-01 -1.1067e+00 +3.5810e+00
72 +5.289162741e+02 +5.289162741e+02 +5.989462741e+02 +5.989462741e+02 -3.9948e-01 -7.7953e-01 -5.0000e+00 -1.0614e+00 -5.6892e-01 +7.7115e-01 -4.5156e-01 +2.9990e+00 +1.0216e+00 -3.2911e+00 +2.3756e+00 -2.5543e+00 +5.0000e+00 -5.0000e+00 -1.4896e+00 +2.1547e-01 +7.0489e-01 -1.5278e+00 -2.3392e-03 +2.5803e+00
365 +3.272596573e+02 +3.272596573e+02 +3.972896573e+02 +3.972896573e+02 -1.0600e+00 +1.7927e+00 -4.6086e+00 -1.4929e+00 +1.8544e-01 -5.0000e+00 +5.7948e-01 +4.6194e+00 +5.3226e-01 -1.5032e+00 +5.3772e-01 -1.4315e+00 +4.9629e+00 -4.8837e+00 -1.5585e+00 -3.3175e+00 -4.5404e-01 +1.7139e+00 -1.5893e+00 +1.6360e+00
1413 +2.427669340e+02 +2.427669340e+02 +3.127969340e+02 +3.127969340e+02 -3.6179e-01 +3.5011e-01 -4.6576e+00 -1.3247e+00 -3.0173e-01 -4.9713e+00 -2.3732e+00 +2.8672e+00 -1.7630e+00 -5.5468e-01 +5.4277e-01 -1.9021e+00 +4.8863e+00 -4.8409e+00 -5.7435e-01 -3.2951e+00 -4.1932e-01 +2.7359e+00 -2.1532e+00 +1.8619e+00
4349 +1.525868642e+02 +1.525868642e+02 +2.226168642e+02 +2.226168642e+02 -1.0333e+00 -1.6103e+00 -4.8015e+00 +9.0308e-01 -1.5725e-01 -4.9964e+00 -1.7538e+00 +2.1002e+00 -2.8163e+00 -5.9597e-01 +2.6571e-01 -8.5727e-01 +4.9688e+00 -4.9236e+00 -2.0458e+00 -4.0117e+00 -7.1475e-02 +3.8658e+00 -2.9726e+00 +5.5460e-01
