% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.157687666e+06 +2.157687666e+06 +2.157723566e+06 +2.157723566e+06 +3.1313e+00 +2.1467e+00 +3.2024e-01 +4.8430e+00 -2.7856e+00 -3.2271e-01 +4.8913e-01 +3.4598e+00 +4.6687e+00 +3.6361e+00 +2.6825e+00 -4.3419e+00 -3.0879e+00 +4.0804e+00 +1.5694e+00 +1.2280e-01 -2.7748e+00 -1.4638e+00 +6.5009e-02 +4.3789e+00
2 +8.005683982e+05 +8.005683982e+05 +8.006042982e+05 +8.006042982e+05 +1.9107e+00 -4.3621e-01 +4.1393e+00 -1.8369e+00 +1.5050e-01 +4.4153e-02 +2.9386e+00 +3.2769e+00 +4.2294e+00 -3.4927e-01 +2.9596e-01 +2.2654e+00 +2.1519e+00 +3.7893e-01 +2.1351e+00 -2.7336e+00 +7.3655e-01 +4.9416e+00 +2.8160e+00 -2.9041e+00
50 +6.086352285e+05 +6.086352285e+05 +6.086711285e+05 +6.086711285e+05 -3.6133e+00 +4.5051e+00 -1.9284e+00 +3.6094e+00 +1.6060e+00 -3.9840e+00 -3.5692e+00 -2.8325e+00 -6.0000e-01 +3.7706e-01 -2.4993e+00 +2.9404e+00 +1.7334e+00 -3.5326e+00 -1.4971e-01 +2.0726e+00 +3.6113e+00 +4.6404e-01 -2.8283e+00 -3.0277e+00
154 +3.376776453e+05 +3.376776453e+05 +3.377135453e+05 +3.377135453e+05 -2.6353e-01 +1.4744e+00 +1.3495e+00 +3.3418e+00 -3.6709e+00 -4.7656e+00 -2.6926e+00 -5.0000e+00 -2.7684e+00 -9.6793e-01 +1.7071e+00 +2.4565e+00 +1.9951e+00 +2.0414e+00 +1.8845e+00 +2.6582e+00 +1.9689e+00 +3.2522e+00 -1.6079e+00 -4.2642e+00
242 +1.796408045e+05 +1.796408045e+05 +1.796767045e+05 +1.796767045e+05 -9.8823e-01 +4.2139e+00 +5.0000e+00 +4.4247e+00 -5.0000e+00 -5.0000e+00 -2.9424e-01 -5.0000e+00 -3.1299e+00 -3.3252e+00 -1.2009e+00 -2.0780e+00 +3.0598e+00 -5.0015e-01 +3.1146e+00 +2.5387e+00 -6.2769e-01 +2.7587e+00 -2.3906e+00 -3.7889e+00
307 +1.475133349e+05 +1.475133349e+05 +1.475492349e+05 +1.475492349e+05 +4.1516e-01 +4.4840e+00 +5.0000e+00 +4.8915e+00 -5.0000e+00 -5.0000e+00 +8.9235e-01 -4.9814e+00 -2.9707e+00 -3.2202e+00 +1.9899e+00 -1.8927e+00 +2.4916e+00 -4.4125e-01 +3.1991e+00 -2.9360e+00 -6.4252e-01 +2.8512e+00 -2.8159e+00 -3.2739e+00
368 +9.782737392e+04 +9.782737392e+04 +9.786327392e+04 +9.786327392e+04 -1.4747e+00 +5.0000e+00 +4.1694e+00 -3.3106e-01 -5.0000e+00 -5.0000e+00 +1.5561e+00 -4.8491e+00 -5.0000e+00 -4.3053e+00 +6.7287e-01 -5.0000e+00 +1.4873e+00 -2.3770e+00 +2.3878e+00 -8.7153e-02 -2.2351e+00 +5.0000e+00 -2.8076e+00 -3.8208e+00
467 +5.744293698e+04 +5.744293698e+04 +5.747883698e+04 +5.747883698e+04 -4.7578e-01 +3.6216e+00 +4.8915e+00 +2.3370e+00 -4.5305e+00 -4.9982e+00 -1.4211e+00 -5.0000e+00 -3.5238e+00 +5.8317e-02 -9.8775e-01 -2.1239e+00 +2.2883e+00 -1.9780e+00 +2.8270e+00 -9.1212e-01 +1.0399e-01 +4.8997e+00 -2.6355e+00 -3.2399e+00
517 +2.412117471e+04 +2.412117471e+04 +2.415707471e+04 +2.415707471e+04 -9.3298e-01 +3.0984e+00 +4.9323e+00 +1.9688e+00 -4.5650e+00 -4.9975e+00 -1.7766e+00 -5.0000e+00 -3.3985e+00 -2.6913e-01 -1.3638e+00 -2.3315e+00 +1.3826e+00 -3.4146e+00 +2.5441e+00 -2.0684e+00 +3.5651e-01 +4.9239e+00 -2.1628e+00 -3.1818e+00
652 +7.198562801e+03 +7.198562801e+03 +7.234462801e+03 +7.234462801e+03 -8.2892e-01 +2.7938e+00 +4.9813e+00 +2.7576e+00 -4.6305e+00 -4.9971e+00 -1.0375e+00 -4.9989e+00 -2.9291e+00 -2.3945e+00 -1.5048e+00 -1.5424e+00 +8.7824e-01 -4.3617e+00 +1.5630e+00 -2.9794e+00 +5.0453e-01 +4.9271e+00 -1.9184e+00 -3.0011e+00
