% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.762186234e+02 +7.762186234e+02 +7.592786234e+02 +7.592786234e+02 -1.2185e+00 +1.9598e+00 -9.8066e-01 -1.1796e-01 -2.1462e+00 +1.9127e+00 +3.1070e-01 +3.6119e+00 -3.7933e+00 +4.8808e+00 -4.3677e+00 -2.4170e+00 -8.3452e-01 +4.3595e+00 +3.8634e+00 -3.6394e+00 +4.8324e-01 -1.5573e+00 -2.9613e+00 -4.4129e+00
2 +5.721327760e+02 +5.721327760e+02 +5.551927760e+02 +5.551927760e+02 +2.5601e+00 -3.5213e+00 -4.3330e+00 +2.7173e+00 -1.8043e+00 -1.4810e+00 -4.6997e+00 +1.6026e+00 -9.6421e-01 -3.9168e+00 +1.2485e+00 -1.6469e+00 +4.6700e+00 -2.7505e+00 -4.6708e+00 +3.6904e+00 -3.8447e+00 -2.6691e+00 +4.6961e+00 +1.0571e+00
3 +1.348717409e+02 +1.348717409e+02 +1.179317409e+02 +1.179317409e+02 -1.3703e+00 +1.9892e-01 +1.5985e+00 +3.6054e+00 +2.0741e+00 -1.3961e+00 -1.9392e-01 -2.9533e+00 +4.6342e+00 +4.0791e-01 +1.2560e+00 +3.4420e+00 -1.6915e+00 -2.6706e-01 +3.8375e+00 -1.6095e+00 -3.6837e-01 +1.4060e+00 +4.0470e+00 -1.8186e+00
27 +5.540376428e+01 +5.540376428e+01 +3.846376428e+01 +3.846376428e+01 +1.5148e+00 +4.6923e+00 +2.0682e+00 -3.9552e+00 +2.3125e+00 +6.5196e-01 +3.0750e+00 -3.8356e+00 -1.3069e+00 -4.4248e+00 +1.5913e+00 +4.6184e+00 -4.6361e+00 -4.6438e-01 -1.6060e-01 -2.8046e+00 +2.6998e+00 +3.0517e+00 -3.0591e+00 -3.2726e+00
375 +3.951403901e+01 +3.951403901e+01 +2.257403901e+01 +2.257403901e+01 +2.3070e+00 +5.0000e+00 +3.5653e+00 +8.5274e-01 +4.9502e+00 -1.0065e+00 +8.8108e-01 -2.7650e+00 -3.8612e+00 -3.3511e+00 +4.9897e+00 +4.5480e+00 -3.6726e+00 -1.9944e+00 -8.0744e-02 +2.3057e+00 -1.5907e-01 +5.0000e+00 -1.0877e+00 -2.4195e+00
1368 +2.505583494e+01 +2.505583494e+01 +8.115834936e+00 +8.115834936e+00 +2.0521e+00 +5.0000e+00 +3.1391e+00 +1.7881e+00 +4.9253e+00 -2.7833e+00 +9.8861e-01 -1.9225e+00 +1.0223e+00 -2.2194e+00 +4.2014e+00 +4.9585e+00 -4.5017e+00 -3.3010e+00 +5.5721e-01 +2.7278e+00 +4.2864e+00 +2.3661e+00 +2.5218e+00 +4.9118e-01
2128 +1.353620363e+01 +1.353620363e+01 -3.403796367e+00 -3.403796367e+00 +2.9776e+00 +4.8285e+00 -1.6182e-01 +5.2707e-01 +4.7521e+00 -2.8243e+00 +1.0727e+00 -3.0069e+00 +1.2512e+00 -2.6931e+00 +4.4540e+00 +4.8800e+00 -4.1985e+00 -1.2446e+00 +8.9319e-01 +3.5513e+00 +3.5099e+00 +1.2499e+00 +5.8565e-01 -1.6746e+00
3815 +9.990342074e+00 +9.990342074e+00 -6.949657926e+00 -6.949657926e+00 +3.8745e+00 +3.8856e+00 +1.8806e+00 -7.4564e-02 +4.9084e+00 -1.6223e+00 +4.5332e-01 -3.3659e+00 +1.0811e+00 -4.9817e-01 +3.6661e+00 +4.3008e+00 -3.3999e+00 -1.9951e+00 +1.0808e+00 +3.6144e+00 +3.5718e+00 +1.5091e+00 -1.5015e-01 -3.9606e-01
12390 +6.240958561e+00 +6.240958561e+00 -1.069904144e+01 -1.069904144e+01 +3.8659e+00 +3.4143e+00 +1.6756e+00 -1.5526e-03 +4.9195e+00 -1.2513e+00 +8.8952e-01 -3.5308e+00 +1.1489e+00 -1.9307e-01 +3.4210e+00 +4.2705e+00 -3.4637e+00 -1.8942e+00 +8.8361e-01 +3.7882e+00 +3.5705e+00 +1.6198e+00 -6.7582e-01 -2.8376e-01
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.162019958e+02 +2.162019958e+02 +2.350119958e+02 +2.350119958e+02 -1.7301e+00 +2.8095e+00 -2.5765e+00 -2.8332e+00 +4.5154e+00 -3.8327e+00 +1.8705e+00 +4.9208e+00 +4.2427e+00 -1.3557e+00 +1.8738e+00 -3.7459e+00 -4.7434e+00 -2.1203e+00 +4.8398e+00 +1.5285e+00 -3.5780e+00 +1.0512e+00 -1.6628e+00 -3.7560e+00
2 +1.576049543e+02 +1.576049543e+02 +1.764149543e+02 +1.764149543e+02 +2.7128e+00 +3.6601e+00 -1.4926e+00 +7.8658e-03 +4.2016e+00 +4.3737e+00 +2.8416e+00 +2.6609e+00 +3.6896e-01 +4.8008e+00 -7.4456e-01 -1.9279e+00 -2.5402e+00 +2.6577e+00 -3.1233e-02 +8.6717e-01 +4.0496e+00 +4.9866e+00 +2.0339e+00 +1.4275e+00
8 +8.705623298e+01 +8.705623298e+01 +1.058662330e+02 +1.058662330e+02 +1.3399e+00 +1.6396e+00 -2.8912e+00 +4.2881e+00 +2.9878e+00 +1.3791e-01 +2.7132e+00 -3.3573e+00 -4.4713e+00 +1.8147e+00 +1.6717e+00 -3.2162e+00 +2.6363e+00 +4.4051e+00 +3.0077e+00 +2.3100e+00 +8.2367e-01 +4.9258e+00 +2.8366e+00 +3.4279e+00
29 +5.331315134e+01 +5.331315134e+01 +7.212315134e+01 +7.212315134e+01 -9.0030e-01 +1.0606e+00 -2.2029e+00 -1.0952e+00 +2.3884e+00 +1.0891e+00 +4.7422e+00 +1.9704e+00 +1.8277e-01 -1.7267e+00 -1.5051e+00 +9.0675e-01 -9.0052e-01 -2.5415e+00 +1.4749e+00 -2.6406e+00 -4.1516e+00 +3.5421e+00 -1.0276e+00 +8.1087e-02
232 +3.506349853e+01 +3.506349853e+01 +5.387349853e+01 +5.387349853e+01 -1.4322e+00 -1.3606e+00 -4.3026e+00 +2.6206e+00 +3.4985e+00 -2.2430e+00 +5.0000e+00 +3.8449e+00 +1.9589e+00 +3.3386e+00 -4.9486e-01 -1.4292e+00 +2.6655e+00 +1.2111e-01 +5.5664e-01 -1.2068e+00 -4.2107e+00 +0.0000e+00 -2.2273e-01 +2.2865e+00
399 +2.457656823e+01 +2.457656823e+01 +4.338656823e+01 +4.338656823e+01 +7.8414e-01 +2.1437e+00 -3.5998e+00 +5.4300e-01 +1.7736e+00 -1.3834e+00 +5.0000e+00 +3.3755e+00 +3.6870e+00 -4.2247e-01 -2.1911e+00 +0.0000e+00 +1.5460e+00 -2.0521e+00 -1.1590e+00 -4.2801e+00 -4.5679e+00 +1.9502e+00 -4.0475e+00 +4.1532e-01
1045 +1.375777472e+01 +1.375777472e+01 +3.256777472e+01 +3.256777472e+01 +4.1055e-01 +3.1575e+00 -4.0225e+00 -1.9536e-01 +1.3615e+00 -1.1314e+00 +5.0000e+00 +3.0918e+00 +4.5858e+00 +1.9704e+00 -2.2121e+00 +3.2952e+00 +1.0020e+00 -2.9426e+00 +4.4687e-01 -4.9323e+00 -4.6998e+00 +1.0067e+00 -3.5938e+00 +7.8167e-01
8354 +9.986941575e+00 +9.986941575e+00 +2.879694157e+01 +2.879694157e+01 +7.8452e-01 +3.2376e+00 -2.9617e+00 +6.8511e-01 +6.6057e-01 -1.3590e+00 +5.0000e+00 +3.6675e+00 +4.9292e+00 +2.5979e+00 -2.6715e+00 +3.9142e+00 +5.3247e-01 -3.1649e+00 -1.8455e+00 -4.7506e+00 -5.0000e+00 +1.5776e+00 -2.9568e+00 +1.3991e+00
19191 +6.185580731e+00 +6.185580731e+00 +2.499558073e+01 +2.499558073e+01 +7.6399e-01 +3.3230e+00 -1.6917e+00 +2.2531e-01 +6.7722e-01 -2.1200e+00 +5.0000e+00 +3.7632e+00 +4.9328e+00 +2.6073e+00 -2.8662e+00 +3.1117e+00 +5.4224e-01 -3.0296e+00 -1.7935e+00 -4.7624e+00 -5.0000e+00 +1.5999e+00 -2.7417e+00 +1.4521e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.308986792e+02 +3.308986792e+02 +6.040486792e+02 +6.040486792e+02 -4.0701e+00 +2.5829e+00 +2.2190e-01 +4.8261e+00 +4.8122e+00 +1.5330e+00 +4.3759e+00 -2.9650e+00 -3.1071e+00 -1.7341e+00 +3.6376e+00 +3.8093e+00 +1.8087e+00 -2.4117e+00 -4.6301e+00 +2.2649e+00 -2.6688e+00 -1.6721e-01 -3.6415e+00 +3.9469e+00
4 +1.214031221e+02 +1.214031221e+02 +3.945531221e+02 +3.945531221e+02 +8.4163e-01 +1.9268e+00 +3.3810e-01 +3.7873e+00 +2.2402e+00 -4.2143e+00 -4.0145e+00 +2.0570e+00 -3.3942e+00 -1.6311e+00 +1.7640e+00 +3.2680e+00 +5.8977e-01 +4.2443e+00 -3.7700e+00 +1.2982e+00 +4.7858e+00 -4.7235e+00 -2.1130e+00 -6.9170e-01
53 +8.366068069e+01 +8.366068069e+01 +3.568106807e+02 +3.568106807e+02 -5.0000e+00 +3.9545e+00 +7.1628e-01 -2.4487e+00 +5.1002e-01 +3.3447e+00 +3.8991e-01 -6.0645e-01 +3.8921e+00 +3.7622e+00 +5.4615e-01 +4.1937e+00 -9.1400e-01 +1.6077e+00 +5.0000e+00 -9.4360e-01 +4.6474e+00 +1.6333e+00 +1.0205e+00 -1.6055e+00
148 +4.469116269e+01 +4.469116269e+01 +3.178411627e+02 +3.178411627e+02 -5.0000e+00 +5.0000e+00 -3.5654e+00 +0.0000e+00 +2.7041e-01 -3.4814e+00 +2.2280e+00 +3.0241e+00 -7.2349e-01 +5.4597e-01 -5.0000e+00 -1.5034e+00 -5.0000e+00 -1.9507e+00 +4.7545e+00 -4.9905e+00 +2.9412e+00 +2.6327e+00 +1.7513e+00 -5.0000e+00
211 +3.925022215e+01 +3.925022215e+01 +3.124002221e+02 +3.124002221e+02 -5.0000e+00 +5.0000e+00 +2.5843e+00 -1.5573e+00 +4.3155e+00 -3.2592e+00 +7.0033e-01 +1.1512e-01 -4.8336e+00 +9.4030e-01 -4.8688e+00 -5.0000e+00 -5.0000e+00 -8.8918e-01 +5.0000e+00 -3.7995e+00 +2.7940e+00 -1.5689e+00 +1.4970e+00 -3.3799e+00
880 +2.275735155e+01 +2.275735155e+01 +2.959073515e+02 +2.959073515e+02 -4.8623e+00 +4.6146e+00 +5.6706e-01 -1.0690e+00 +2.7982e+00 -2.4339e+00 +2.4339e-01 -1.6425e+00 -3.1096e+00 +1.5921e+00 -3.6461e+00 -1.2311e+00 -3.1305e+00 +1.4808e+00 +4.6378e+00 -2.7097e+00 -9.5529e-01 -5.5497e-01 +2.6927e+00 -2.3378e+00
1724 +1.456466356e+01 +1.456466356e+01 +2.877146636e+02 +2.877146636e+02 -4.8041e+00 +4.7508e+00 +1.4435e+00 +1.5611e+00 +3.1665e+00 -2.4716e+00 -1.7672e+00 -5.5362e-01 -2.2077e+00 +2.3551e+00 -3.1215e+00 +5.8299e-01 -2.8299e+00 +1.2969e+00 +4.7093e+00 -2.0988e+00 +2.7777e+00 -4.5375e-01 +2.8617e+00 -2.5769e+00
2679 +9.988754787e+00 +9.988754787e+00 +2.831387548e+02 +2.831387548e+02 -4.6282e+00 +4.6586e+00 +5.0247e-01 +2.0632e+00 +3.0841e+00 -2.8786e+00 -2.8322e+00 +4.0481e-01 -2.0307e+00 +2.6491e+00 -1.7043e+00 +3.9783e-01 -1.8011e+00 +6.2777e-01 +4.7872e+00 -3.3725e+00 +2.5024e+00 +8.7294e-01 +2.0955e+00 -2.5576e+00
3658 +5.395442394e+00 +5.395442394e+00 +2.785454424e+02 +2.785454424e+02 -4.7467e+00 +4.8859e+00 +2.9618e-01 +1.5396e+00 +2.2484e+00 -4.2725e+00 -1.1982e+00 +3.9358e-01 -1.8315e+00 +2.6752e+00 -1.8763e+00 +6.3035e-01 -9.3502e-01 +5.2765e-01 +4.7014e+00 -2.4623e+00 +2.6227e+00 +2.0188e-01 +3.3676e+00 -2.5029e+00
6390 +3.449218339e+00 +3.449218339e+00 +2.765992183e+02 +2.765992183e+02 -4.8309e+00 +4.9263e+00 +6.9850e-01 +1.7662e+00 +2.2446e+00 -4.0259e+00 -1.5663e+00 +6.9897e-01 -1.8108e+00 +2.2249e+00 -1.5218e+00 +4.5234e-01 -9.2735e-01 +6.1670e-01 +4.7169e+00 -2.4230e+00 +2.6330e+00 +2.1523e-01 +2.8651e+00 -2.4202e+00
8517 +2.362098899e+00 +2.362098899e+00 +2.755120989e+02 +2.755120989e+02 -4.8195e+00 +4.9262e+00 +5.9404e-01 +1.8388e+00 +2.1518e+00 -3.6802e+00 -1.4397e+00 +3.7221e-01 -1.9553e+00 +2.3380e+00 -1.4074e+00 +3.2647e-01 -1.1180e+00 +7.7661e-01 +4.5896e+00 -2.5187e+00 +1.9748e+00 +2.1328e-01 +2.4981e+00 -2.3447e+00
11796 +1.541726617e+00 +1.541726617e+00 +2.746917266e+02 +2.746917266e+02 -4.8317e+00 +4.9242e+00 +6.0254e-01 +1.8801e+00 +2.1550e+00 -3.7782e+00 -1.3676e+00 +4.9930e-01 -2.0801e+00 +2.2835e+00 -1.6973e+00 +2.6162e-01 -1.1165e+00 +7.7999e-01 +4.6385e+00 -2.5832e+00 +2.0461e+00 +2.8019e-01 +2.2924e+00 -2.3534e+00
92859 +9.606714494e-01 +9.606714494e-01 +2.741106714e+02 +2.741106714e+02 -4.8487e+00 +4.9239e+00 +5.6400e-01 +1.8655e+00 +2.1469e+00 -3.8163e+00 -1.3967e+00 +4.6950e-01 -2.0848e+00 +2.2743e+00 -1.6656e+00 +2.9246e-01 -1.1359e+00 +7.9304e-01 +4.5991e+00 -2.5840e+00 +1.9995e+00 +2.7291e-01 +2.3412e+00 -2.3397e+00
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.267077452e+02 +5.267077452e+02 +5.638877452e+02 +5.638877452e+02 +5.8552e-02 -2.4989e+00 -1.8029e+00 +2.5524e-01 +1.4592e+00 -4.4477e+00 +2.6268e+00 +2.5342e+00 +8.1079e-01 +4.1293e+00 +3.5985e-01 -3.8489e+00 +2.3159e+00 -1.6803e+00 +4.0562e+00 -4.2601e+00 -4.8348e-01 +3.1521e-01 +2.5922e+00 -4.4546e+00
2 +1.193865227e+02 +1.193865227e+02 +1.565665227e+02 +1.565665227e+02 +3.8139e+00 -4.9250e-01 -4.3071e+00 -6.3828e-02 -9.2554e-01 -3.2787e+00 +2.8089e+00 +4.4457e+00 -2.2456e+00 +4.1643e+00 +2.0335e+00 +9.1877e-01 -3.3794e+00 -4.9431e+00 +4.1372e+00 +1.1409e+00 +3.2171e+00 +2.7240e+00 -2.8117e+00 -2.3909e+00
4 +9.633532387e+01 +9.633532387e+01 +1.335153239e+02 +1.335153239e+02 +4.2673e+00 +5.6959e-01 +2.3456e+00 -3.0587e+00 +1.6621e+00 +3.6014e-01 +9.3021e-01 -5.7966e-01 +2.7773e+00 -6.9221e-02 +7.8622e-01 +1.6315e+00 +4.2347e+00 -2.3363e+00 -1.6799e+00 +2.9722e+00 -4.7903e+00 +4.6334e+00 -3.7481e-01 +3.3638e+00
17 +3.602105887e+01 +3.602105887e+01 +7.320105887e+01 +7.320105887e+01 -3.0123e+00 +4.7184e-01 +6.3425e-02 -1.0678e+00 -4.4528e+00 +7.3682e-01 -3.6332e+00 -4.6136e+00 -1.3742e+00 +3.5641e+00 +3.3877e+00 -2.3434e+00 -1.3068e+00 -2.8756e+00 -2.3050e-01 -1.9952e+00 +5.5284e-01 -8.5955e-01 +3.6565e+00 -1.6450e+00
414 +2.423784377e+01 +2.423784377e+01 +6.141784377e+01 +6.141784377e+01 -4.6622e+00 +3.8079e+00 +6.3776e-01 -1.9759e+00 -2.4853e+00 +1.0892e+00 -3.5239e-01 -2.8559e+00 -5.2427e-01 +4.2781e+00 +2.9446e+00 -1.3544e+00 -1.4788e+00 -4.3357e-01 -4.6393e-01 -1.7136e+00 +6.6880e-01 -2.8652e+00 +3.1470e+00 -1.3030e-01
913 +1.582145751e+01 +1.582145751e+01 +5.300145751e+01 +5.300145751e+01 -2.0144e+00 +1.6389e+00 +3.4516e+00 -5.0092e-01 -4.0255e+00 +7.8509e-01 -9.2950e-01 -3.0013e+00 -3.1178e+00 +4.4934e+00 +1.4518e+00 -2.5934e+00 +2.6626e+00 -1.0914e+00 +3.8236e+00 +1.0008e+00 -1.0822e+00 +1.5208e-01 -9.3508e-01 +3.7381e+00
2643 +9.913821159e+00 +9.913821159e+00 +4.709382116e+01 +4.709382116e+01 -4.7876e+00 +2.4030e+00 +2.1100e+00 -1.0953e+00 -3.3131e+00 +1.5887e+00 -6.6946e-01 -4.7647e+00 -9.4458e-01 +4.2634e+00 -1.9740e-01 -3.2930e+00 +9.7299e-01 -2.5903e+00 +3.9201e+00 -4.6481e-01 -4.0104e-01 -2.1398e+00 -8.4074e-01 +1.7142e+00
3110 +5.879158739e+00 +5.879158739e+00 +4.305915874e+01 +4.305915874e+01 -4.8909e+00 +2.4492e+00 +1.7481e+00 -2.9054e-01 -3.7539e+00 +5.8769e-01 -8.3760e-01 -4.5966e+00 -8.8917e-01 +4.4038e+00 +2.0368e-01 -3.6659e+00 +1.3205e+00 -3.3078e+00 +3.9752e+00 -4.8745e-01 +1.8037e-01 -2.0817e+00 -5.5416e-01 +2.2690e+00
6624 +3.961939612e+00 +3.961939612e+00 +4.114193961e+01 +4.114193961e+01 -4.7548e+00 +2.3621e+00 +1.8887e+00 +2.9244e-01 -3.4599e+00 -1.0962e-01 -8.1690e-01 -4.6201e+00 -8.1782e-01 +4.4652e+00 +8.9831e-01 -3.5697e+00 +1.3343e+00 -2.6640e+00 +3.1199e+00 -2.6121e-01 +6.6289e-01 -2.1309e+00 -4.1029e-01 +1.9985e+00
12553 +2.507493335e+00 +2.507493335e+00 +3.968749333e+01 +3.968749333e+01 -4.9656e+00 +2.3373e+00 +2.2632e+00 -4.7760e-01 -3.7774e+00 -1.8462e-01 -5.9816e-01 -3.9632e+00 -1.5466e+00 +4.4227e+00 +1.3940e+00 -3.7872e+00 +8.7490e-01 -2.7253e+00 +3.3970e+00 +1.8168e-01 +1.1559e+00 -2.0487e+00 -5.0793e-02 +1.5063e+00
