% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.874725250e+02 +4.874725250e+02 +4.782625250e+02 +4.782625250e+02 -5.2153e-01 -2.9921e+00 +1.7915e+00 +4.4889e-01 +1.1321e+00 +3.4913e+00 +4.2709e-01 -3.6164e+00 -1.6918e+00 -3.3989e+00 +1.3872e+00 -1.4788e+00 +6.2406e-01 +2.0613e+00 +9.8206e-03 +3.0968e+00 -1.9453e+00 +1.3423e+00 +4.2775e+00 -4.3454e+00
2 +3.801692710e+02 +3.801692710e+02 +3.709592710e+02 +3.709592710e+02 -2.8576e+00 -1.1984e+00 +1.3106e+00 +2.7765e+00 +1.9112e-01 -2.9499e+00 -2.3491e+00 +2.2922e+00 -1.4664e+00 -3.6439e+00 +3.8968e-01 +2.6230e+00 +4.8907e+00 -3.5557e-01 +2.9963e+00 +1.9839e+00 +1.6542e+00 +4.0505e+00 -8.0856e-01 -1.3949e+00
78 +2.243324968e+02 +2.243324968e+02 +2.151224968e+02 +2.151224968e+02 +1.5519e+00 +8.2646e-01 +4.3577e+00 +5.0000e+00 +2.8399e+00 -3.5336e-01 +4.9653e+00 +6.1886e-01 -3.7804e+00 +2.2003e+00 +1.6295e+00 +4.1079e-01 +3.7709e+00 +1.1131e-01 -3.2615e+00 -3.1036e+00 +3.7240e+00 +3.8619e-01 -5.0000e+00 +5.0000e+00
128 +1.416952836e+02 +1.416952836e+02 +1.324852836e+02 +1.324852836e+02 +5.0000e+00 +3.6181e+00 +5.0000e+00 +5.0000e+00 +3.4700e+00 -2.3612e+00 +5.0000e+00 +4.3073e+00 -5.0000e+00 +1.7308e+00 +5.6144e-01 +1.8932e+00 +4.2706e+00 +4.0713e+00 -5.0000e+00 -5.0000e+00 +4.0306e+00 +4.2748e+00 -5.0000e+00 +5.0000e+00
204 +8.120710286e+01 +8.120710286e+01 +7.199710286e+01 +7.199710286e+01 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +4.5381e+00 -1.9773e+00 +5.0000e+00 +4.1689e+00 -5.0000e+00 -3.9600e+00 -5.0000e+00 -3.8769e+00 +4.1733e+00 +4.7342e+00 -5.0000e+00 -5.0000e+00 +3.2101e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00
230 +5.796933783e+01 +5.796933783e+01 +4.875933783e+01 +4.875933783e+01 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +4.0211e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 -3.9600e+00 -5.0000e+00 -2.4738e+00 +4.7912e+00 +5.0000e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00
316 +3.351086679e+01 +3.351086679e+01 +2.430086679e+01 +2.430086679e+01 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -2.9847e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 +4.0956e+00 +5.0000e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00
439 +2.377609834e+01 +2.377609834e+01 +1.456609834e+01 +1.456609834e+01 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +0.0000e+00 -5.0000e+00 -5.0000e+00 -3.6214e+00 +4.8071e+00 +5.0000e+00 -5.0000e+00 -4.2631e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00
489 +1.141956240e+01 +1.141956240e+01 +2.209562398e+00 +2.209562398e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +3.9600e+00 -5.0000e+00 -5.0000e+00 -4.5657e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 -3.8585e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00
512 +7.329704022e+00 +7.329704022e+00 -1.880295978e+00 -1.880295978e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 -3.8098e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00
526 +5.859904736e+00 +5.859904736e+00 -3.350095264e+00 -3.350095264e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 +4.6790e+00 +5.0000e+00 -5.0000e+00 -4.2716e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00
551 +3.812625232e-01 +3.812625232e-01 -8.828737477e+00 -8.828737477e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 +4.9109e+00 +5.0000e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00
602 +2.131628207e-14 +2.131628207e-14 -9.210000000e+00 -9.210000000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.220007555e+02 +3.220007555e+02 +9.779907555e+02 +9.779907555e+02 +2.0304e+00 -8.3031e-01 -4.8969e+00 +2.1986e+00 +1.6128e+00 +3.6246e+00 -4.6052e+00 +2.7504e+00 +1.9025e+00 -3.1162e+00 +4.5474e+00 -1.6965e+00 -4.0547e+00 +2.1010e+00 +2.8684e+00 -3.9712e+00 -4.0525e+00 -3.3840e+00 -2.3111e+00 +4.7178e+00
61 +2.275979461e+02 +2.275979461e+02 +8.835879461e+02 +8.835879461e+02 +2.2897e+00 +4.5818e-03 -1.5375e+00 -5.0000e+00 -2.0999e+00 +5.0000e+00 -2.4850e+00 +3.0090e+00 +9.7407e-01 -5.0000e+00 +2.8220e+00 -4.2263e+00 +3.2120e+00 +1.8763e+00 +4.7869e+00 +7.4755e-01 -4.0314e+00 -5.0000e+00 +1.4834e+00 +4.6638e+00
133 +1.479293692e+02 +1.479293692e+02 +8.039193692e+02 +8.039193692e+02 +1.5986e+00 -5.0000e+00 -3.0942e+00 -5.0000e+00 -1.3702e+00 +5.0000e+00 -3.4331e+00 +1.7617e+00 -3.3474e-01 -4.8318e+00 +5.0000e+00 -5.0000e+00 +4.8075e+00 +3.4662e+00 +4.9604e+00 +5.0000e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00
301 +9.855898929e+01 +9.855898929e+01 +7.545489893e+02 +7.545489893e+02 +5.0000e+00 -5.0000e+00 -3.5796e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 -4.2361e+00 +3.0683e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00 -5.0000e+00 +4.3076e+00 +5.0000e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00
651 +6.046019208e+01 +6.046019208e+01 +7.164501921e+02 +7.164501921e+02 +5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 -5.0000e+00 +4.9957e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 -1.5785e+00 +5.0000e+00 -5.0000e+00 +4.5599e+00 +5.0000e+00 -4.9447e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00
704 +3.872158888e+01 +3.872158888e+01 +6.947115889e+02 +6.947115889e+02 +5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 -5.0000e+00 +4.9979e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 +3.5914e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 -4.9051e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00
% function evaluation | noise-free fitness - Fopt (6.671000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.222820935e+02 +3.222820935e+02 +3.889920935e+02 +3.889920935e+02 +3.3738e-01 -1.2969e+00 +2.5088e+00 -8.0536e-01 -3.8621e+00 +1.2219e+00 -3.7462e+00 -3.1847e+00 -3.2500e+00 -1.2529e+00 -4.9769e+00 -2.6903e+00 +2.8048e+00 +1.7654e+00 +4.9396e-01 -1.2485e+00 +4.1140e+00 -4.3216e+00 +2.9813e+00 -3.9986e+00
68 +2.036874519e+02 +2.036874519e+02 +2.703974519e+02 +2.703974519e+02 -1.9263e+00 -3.6524e+00 -1.2298e+00 -5.8387e-01 -2.5383e+00 -7.5787e-01 +1.3264e+00 -3.0932e+00 +4.9943e+00 -1.8590e-01 +1.2968e+00 -5.0000e+00 -1.3961e+00 -6.4396e-01 +1.7529e+00 +5.0000e+00 -5.0000e+00 -8.6717e-01 -4.2450e+00 -4.2836e+00
118 +1.497154133e+02 +1.497154133e+02 +2.164254133e+02 +2.164254133e+02 -5.0000e+00 -5.0000e+00 +9.0475e-01 -4.5439e+00 -5.0000e+00 +2.0564e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00 -2.6963e+00 +2.9358e+00 -5.0000e+00 -5.0000e+00 +4.6180e-01 +5.0000e+00 +5.0000e+00 -5.0000e+00 -4.4763e+00 -5.0000e+00 -5.0000e+00
177 +9.648219257e+01 +9.648219257e+01 +1.631921926e+02 +1.631921926e+02 +0.0000e+00 -5.0000e+00 +5.0000e+00 +3.9600e+00 -4.5059e+00 +0.0000e+00 -2.9500e+00 -5.0000e+00 +5.0000e+00 +1.5064e+00 +2.3910e+00 -5.0000e+00 +5.0000e+00 +2.5427e+00 +3.9111e+00 +5.0000e+00 -5.0000e+00 -5.0000e+00 -4.8849e+00 -5.0000e+00
