% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.014795155e+00 +9.014795155e+00 +1.588479515e+01 +1.588479515e+01 -3.8494e+00 +4.4096e+00 +1.6656e-01 -1.5403e+00 +2.1932e+00 +7.7122e-01 -4.6971e-01 +3.0690e+00 +1.3169e+00 +2.8482e+00 +3.9075e+00 -3.0909e+00 -6.5966e-01 +3.5984e+00 -4.9430e-01 -5.2665e-01 +1.2651e+00 -2.8327e+00 -1.6393e+00 +1.5846e+00
114 +5.917144730e+00 +5.917144730e+00 +1.278714473e+01 +1.278714473e+01 +3.0868e+00 -4.3339e+00 -2.8934e+00 -3.1762e-01 -2.4941e+00 +2.9854e+00 -4.6641e+00 +5.0000e+00 +2.1433e+00 -1.1160e+00 +2.7622e+00 -3.2565e+00 -1.4051e+00 -3.4165e+00 -1.9136e+00 +3.0706e+00 +0.0000e+00 +2.4046e+00 +4.9474e+00 -4.2787e+00
454 +3.597459103e+00 +3.597459103e+00 +1.046745910e+01 +1.046745910e+01 +3.8755e+00 -5.0000e+00 +3.0654e-01 +3.8542e-01 +1.6078e-01 +2.3033e+00 -4.8061e+00 +3.9398e+00 +7.5178e-01 +4.1358e+00 +2.6901e+00 -3.3685e+00 -3.4381e+00 -6.0698e-01 -5.6792e-02 +2.6825e+00 +2.3015e-01 +3.5715e+00 +3.3664e+00 -3.0809e+00
5997 +2.419585249e+00 +2.419585249e+00 +9.289585249e+00 +9.289585249e+00 +3.6757e+00 -5.0000e+00 +3.1328e-01 +1.9716e+00 -2.5523e+00 +2.3686e+00 -4.9381e+00 +3.9204e+00 +7.6743e-01 +3.6461e+00 +2.7296e+00 -3.3835e+00 -3.7075e+00 -1.2045e+00 -4.3982e-01 +3.2252e+00 -3.4386e-02 +3.0904e+00 +3.4437e+00 -3.5370e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.944374958e+01 +1.944374958e+01 +1.945374958e+01 +1.945374958e+01 -3.0708e+00 +1.6903e+00 -2.3556e+00 -3.2212e+00 +1.4433e+00 -7.1380e-01 -1.2912e+00 -4.0783e+00 -4.6870e-02 +6.8282e-01 -1.0128e+00 +2.7263e+00 -4.6965e+00 -3.2732e-01 +1.3954e-01 -1.5282e+00 +7.0159e-01 -1.7130e+00 +2.6622e+00 +2.5142e+00
3 +1.174466136e+01 +1.174466136e+01 +1.175466136e+01 +1.175466136e+01 +1.6542e+00 -4.3261e+00 -8.5649e-01 +2.3738e-01 +2.8956e+00 +9.2343e-01 +4.1334e+00 +2.3835e+00 -3.5235e+00 +3.7605e+00 +6.5400e-01 +1.4865e+00 -3.1374e+00 +4.8010e+00 -2.4761e+00 -4.5512e+00 -4.9110e+00 -1.0843e+00 +2.8370e+00 -1.9111e+00
5 +7.670536342e+00 +7.670536342e+00 +7.680536342e+00 +7.680536342e+00 +4.2612e+00 -2.0801e+00 -1.0833e+00 +3.0849e+00 -4.5954e+00 +3.2387e+00 -4.0632e+00 -3.5127e+00 -2.6053e+00 +4.2098e-01 -1.3529e+00 -1.6567e+00 +1.8639e-01 -7.7697e-01 -9.6354e-01 +2.4040e+00 +3.3633e+00 +2.6280e+00 -2.9349e+00 +1.0264e+00
19 +6.172137238e+00 +6.172137238e+00 +6.182137238e+00 +6.182137238e+00 +1.3494e+00 +3.3404e+00 +2.9392e+00 +3.8815e+00 -2.7677e+00 +4.6402e-01 -4.6010e+00 +3.8923e+00 +5.0000e+00 +2.0358e+00 -3.2457e+00 +1.4570e+00 +2.2254e+00 +2.6465e+00 -1.0134e+00 +3.2090e+00 +2.0827e-01 +4.6656e+00 +1.5689e+00 +2.7567e+00
604 +3.859788945e+00 +3.859788945e+00 +3.869788945e+00 +3.869788945e+00 -1.7954e+00 -1.2168e+00 +5.0000e+00 +4.3111e+00 +5.9182e-01 +1.1098e+00 -3.9997e+00 +5.0000e+00 +3.8493e+00 +2.6245e+00 -1.1065e+00 +2.8887e+00 +5.0000e+00 +4.2291e+00 -4.9147e+00 +3.7294e+00 +1.1174e+00 +2.6239e+00 +2.5166e-01 +1.0715e+00
