% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.108172365e+04 +7.108172365e+04 +7.115799365e+04 +7.115799365e+04 -1.7670e+00 +1.4461e+00 -3.6439e+00 -4.4447e-01 -7.4539e-01 +4.3670e+00 -4.7905e+00 -2.4713e+00 +3.4793e+00 -4.3550e+00 -2.6044e-01 -2.8731e+00 +8.2034e-01 -3.6826e+00 -4.9581e+00 +3.4831e+00 +1.7734e+00 +2.8921e-01 -6.9117e-02 -4.6495e+00
10 +3.445561295e+04 +3.445561295e+04 +3.453188295e+04 +3.453188295e+04 -3.9910e+00 +3.3322e+00 +3.3536e+00 -2.0292e+00 +3.8578e+00 -3.6534e+00 -2.7139e+00 +3.5185e+00 +2.3831e+00 +1.2601e+00 +4.6562e+00 +1.4091e+00 +9.2696e-01 +3.7821e+00 +3.0993e+00 -3.1900e+00 +2.3952e+00 -2.2153e+00 -2.7997e-01 +2.0339e+00
114 +1.721324447e+03 +1.721324447e+03 +1.797594447e+03 +1.797594447e+03 +3.8265e+00 +4.9572e+00 +6.5119e-01 -2.4645e+00 +4.9356e-01 -1.7647e+00 +3.6704e+00 -1.9391e+00 +8.1095e-01 -1.9754e-01 -5.6864e-01 +1.1001e+00 +1.2142e+00 -2.2985e-01 +2.7922e+00 -2.2074e+00 +4.9254e+00 -4.3799e+00 -4.4245e-01 +4.3482e+00
458 +2.561277749e+02 +2.561277749e+02 +3.323977749e+02 +3.323977749e+02 +2.2034e-01 -9.2471e-01 +3.6064e+00 +1.0578e+00 -6.8068e-01 -2.8432e+00 +2.4222e+00 +2.6910e+00 +2.3588e+00 +1.9855e+00 +1.2143e+00 +4.0595e+00 +2.3195e+00 -2.5734e+00 -3.1080e+00 +1.9205e+00 -2.0175e+00 -1.2678e+00 -4.2811e-01 +4.6499e+00
649 +2.007837171e+02 +2.007837171e+02 +2.770537171e+02 +2.770537171e+02 +4.7151e+00 -1.0236e+00 -1.6215e+00 -4.8587e+00 -3.7360e+00 -4.1410e+00 -3.0453e+00 -4.7248e+00 -1.7511e+00 +4.7145e+00 +1.0572e+00 -3.6533e+00 -2.6070e+00 +2.6038e+00 -3.0649e+00 +3.8281e-01 -4.4993e-01 +1.6381e+00 +7.5058e-01 +3.1616e+00
3250 +1.334690541e+02 +1.334690541e+02 +2.097390541e+02 +2.097390541e+02 +1.5859e+00 -1.7365e+00 -3.3827e+00 -1.3563e-01 +1.1922e+00 +6.2053e-01 -8.2271e-01 -8.4485e-01 -1.4160e+00 +1.8153e+00 -1.4200e+00 -4.0217e+00 -1.0145e+00 +1.5116e+00 -2.3323e+00 -4.6247e+00 -9.2026e-01 +1.1528e+00 -1.3604e+00 +2.0390e+00
45395 +9.584464357e+01 +9.584464357e+01 +1.721146436e+02 +1.721146436e+02 -4.8429e-01 -1.7937e+00 -4.1839e+00 +5.0000e+00 +3.7195e-01 +3.5634e-01 -2.9953e+00 -1.6899e+00 -2.9882e+00 +2.5880e-01 +2.1121e+00 -2.4847e+00 -8.3834e-01 +1.5504e+00 -1.0702e+00 -4.8489e+00 +4.1821e-01 -9.4167e-01 -1.0633e+00 -2.4160e+00
92230 +5.992227325e+01 +5.992227325e+01 +1.361922733e+02 +1.361922733e+02 +4.9486e-01 -2.9760e+00 -1.5383e+00 +1.6143e+00 -2.1536e-01 -7.0938e-01 -1.2332e+00 -1.9008e+00 -2.4761e+00 +2.8201e+00 +3.2866e+00 -1.1355e+00 -3.0503e+00 +1.5992e+00 -3.2592e+00 -3.7681e+00 -1.9668e+00 -8.9105e-01 +1.7926e+00 -2.9145e+00
135510 +3.036992423e+01 +3.036992423e+01 +1.066399242e+02 +1.066399242e+02 -2.3162e+00 -2.5261e+00 -1.8308e+00 -2.0421e+00 -5.0976e-01 -1.8643e+00 +3.7925e-01 +5.8012e-01 -2.0087e+00 +2.1584e+00 +3.7298e-01 -9.9533e-01 -3.6898e+00 +1.3497e+00 -2.9904e+00 -1.8704e+00 +9.3137e-01 -2.0066e+00 +6.2549e-02 -9.5575e-01
189805 +2.334320476e+01 +2.334320476e+01 +9.961320476e+01 +9.961320476e+01 -1.3016e+00 -3.8694e+00 -1.0870e+00 +8.3561e-01 -3.6307e-01 -9.1415e-02 +9.3511e-01 +6.2136e-01 -1.8447e+00 +2.1160e+00 +1.3754e+00 -2.1643e+00 -4.4711e+00 +3.0987e+00 -2.3634e+00 -9.1299e-01 +1.5161e+00 -2.7334e+00 +2.1042e+00 -5.4051e-01
