% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.596631443e+01 +8.596631443e+01 -9.140336856e+02 -9.140336856e+02 +2.7205e-01 +2.6108e+00 -3.3415e+00 -4.5041e+00 +3.5402e+00 +1.7953e+00 +4.8568e+00 -1.8368e+00 +3.6904e+00 -3.0591e+00 +3.8971e+00 -9.5146e-02 +1.9037e-02 -3.0708e+00 +5.3353e-01 -2.9089e+00 +4.1288e+00 -4.3021e+00 -6.9301e-01 -4.6362e+00
3643 +6.163902338e+01 +6.163902338e+01 -9.383609766e+02 -9.383609766e+02 -4.3816e+00 -2.3228e+00 +4.3809e+00 -3.3430e+00 -1.6170e+00 -2.0524e+00 +3.0753e-01 -3.5045e+00 +9.4089e-01 +1.5919e+00 +4.6780e+00 -3.6420e+00 -1.1026e+00 -8.6353e-01 -2.8206e+00 -1.9791e+00 +3.5535e+00 -3.3764e+00 -8.0659e-01 -1.2966e+00
7706 +3.957074862e+01 +3.957074862e+01 -9.604292514e+02 -9.604292514e+02 -5.0000e+00 -3.3305e+00 +0.0000e+00 -5.0000e+00 +1.6769e+00 -3.5179e+00 -1.4588e+00 -5.0000e+00 +1.6402e+00 +5.0000e+00 +4.2894e+00 -1.9556e+00 +1.1990e+00 -4.1111e+00 -2.0513e+00 -3.9725e+00 +2.6406e+00 -2.0611e+00 +5.0877e-01 -4.0843e+00
8067 +2.360875713e+01 +2.360875713e+01 -9.763912429e+02 -9.763912429e+02 -3.3056e+00 -3.0201e+00 +3.1982e+00 -5.0000e+00 -4.5657e-01 -3.2150e+00 +8.9624e-01 -4.4074e+00 +2.1743e+00 +2.6113e+00 +2.2143e+00 -1.3459e+00 +2.5571e+00 -5.4511e-01 -9.1321e-01 -4.8319e+00 +2.2888e+00 -9.2914e-01 -3.5546e-01 -3.1595e+00
12211 +1.366507676e+01 +1.366507676e+01 -9.863349232e+02 -9.863349232e+02 -3.2704e+00 -2.5917e+00 +1.2084e-01 -4.3370e+00 -3.9949e-01 -2.0048e+00 -5.7182e-01 -4.1112e+00 +1.3720e+00 +1.9901e+00 +4.4382e+00 -1.4349e+00 +1.5946e+00 -1.2292e+00 -7.0158e-01 -4.2562e+00 +1.1934e+00 +4.4347e-01 -7.9744e-01 -2.8476e+00
15475 +9.393252116e+00 +9.393252116e+00 -9.906067479e+02 -9.906067479e+02 -3.4830e+00 -1.8986e+00 +1.4541e+00 -3.6006e+00 +3.1244e-01 -4.0462e+00 -7.5373e-01 -4.0688e+00 +1.1324e+00 +2.8906e+00 +5.0000e+00 -7.4567e-01 +1.4073e+00 +5.1918e-01 -2.8750e+00 -3.8202e+00 +1.7212e+00 +3.7535e-01 +1.2039e+00 -2.1656e+00
25613 +6.302203953e+00 +6.302203953e+00 -9.936977960e+02 -9.936977960e+02 -4.4728e+00 -1.5887e+00 +1.8424e+00 -4.1985e+00 +1.6582e+00 -3.2639e+00 -1.2873e+00 -4.3598e+00 +2.2740e+00 +1.7385e+00 +4.2229e+00 -1.1970e+00 +2.1726e+00 -8.8393e-01 -1.6623e+00 -3.9639e+00 +2.7580e+00 +4.7072e-01 +1.1227e+00 -3.0553e+00
33160 +3.902657564e+00 +3.902657564e+00 -9.960973424e+02 -9.960973424e+02 -3.0679e+00 -2.2588e+00 +7.8613e-01 -4.4355e+00 +1.8758e+00 -3.2924e+00 -1.0649e+00 -4.3469e+00 +2.4367e+00 +2.1739e+00 +4.1548e+00 -5.6170e-01 +1.0057e+00 -9.3795e-01 -1.5576e+00 -3.5420e+00 +1.8860e+00 +1.8450e-01 +7.8120e-01 -2.3325e+00
45816 +2.349299715e+00 +2.349299715e+00 -9.976507003e+02 -9.976507003e+02 -3.7150e+00 -1.9603e+00 +1.8013e+00 -4.9146e+00 +1.5557e+00 -3.2274e+00 -1.0785e+00 -4.4986e+00 +2.2727e+00 +2.3555e+00 +3.6368e+00 -1.6647e+00 +9.9476e-01 -4.2698e-01 -1.7256e+00 -4.0556e+00 +1.5781e+00 -1.7665e-01 +3.9913e-01 -2.5398e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.617644702e+01 +8.617644702e+01 +1.086176447e+03 +1.086176447e+03 +1.7957e+00 -3.5045e+00 +3.2714e+00 -3.2502e+00 +3.2327e+00 -3.5527e+00 +9.3622e-01 -1.8207e+00 +2.2603e-01 +2.8472e+00 -1.7587e+00 +2.8646e+00 +6.2280e-01 -1.6095e+00 -2.8119e+00 -2.7086e+00 +3.9695e+00 +1.9812e+00 -4.2010e+00 +4.7952e+00
4574 +6.062651690e+01 +6.062651690e+01 +1.060626517e+03 +1.060626517e+03 -2.3018e+00 -2.4163e+00 -2.5628e+00 -3.2275e+00 +0.0000e+00 -1.5170e+00 +1.6511e+00 +8.8728e-01 -1.5758e+00 -4.0864e+00 -3.9174e+00 -5.0000e+00 -2.7268e+00 -5.0000e+00 -1.1591e+00 -5.0000e+00 +3.4881e+00 -4.3943e+00 +2.0217e-01 -1.6842e-01
6740 +3.285968579e+01 +3.285968579e+01 +1.032859686e+03 +1.032859686e+03 -5.0000e+00 -4.3981e+00 +3.6428e-02 +1.6298e-01 +1.0966e+00 -3.9599e+00 +1.2824e+00 +6.5248e-01 -1.2359e+00 -3.6283e+00 -5.0000e+00 -1.1452e+00 +0.0000e+00 -5.0000e+00 -3.3539e+00 -4.6870e+00 +3.2243e+00 -4.8828e+00 +1.9786e+00 +4.6353e-01
8069 +2.016920648e+01 +2.016920648e+01 +1.020169206e+03 +1.020169206e+03 -4.3936e+00 -2.7163e+00 -7.9544e-02 -1.2374e+00 +4.1396e-01 -2.5943e+00 +1.7012e+00 +1.9378e-01 -3.0012e+00 -3.7194e+00 -8.6372e-01 -9.3679e-01 -3.2280e-01 -4.6466e+00 -3.0342e+00 -4.1547e+00 +2.5878e+00 -3.9314e+00 +3.0062e+00 +2.4805e+00
12129 +1.191367719e+01 +1.191367719e+01 +1.011913677e+03 +1.011913677e+03 -4.5611e+00 -3.7531e+00 -9.4432e-03 -2.4982e+00 +9.8300e-01 -2.1820e+00 +1.2383e+00 -3.4937e-01 -4.4148e+00 -2.4201e+00 -3.8175e+00 -1.6896e+00 +8.5862e-02 -4.8026e+00 -3.1775e+00 -4.2180e+00 +2.3649e+00 -4.0276e+00 +3.8635e+00 +1.8694e+00
15012 +9.719795408e+00 +9.719795408e+00 +1.009719795e+03 +1.009719795e+03 -4.6023e+00 -3.9163e+00 +0.0000e+00 -1.4733e+00 +2.5171e+00 -2.5642e+00 +8.5401e-01 +2.6601e-01 -3.0771e+00 -3.6169e+00 -3.6042e+00 -2.9550e+00 -1.0000e-01 -4.9490e+00 -2.6441e+00 -4.5018e+00 +2.3531e+00 -4.0567e+00 +3.3830e+00 +2.8715e+00
