% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.971667026e+01 +2.971667026e+01 -7.283332974e+01 -7.283332974e+01 +1.9887e-01 +3.7234e-01 +4.7067e+00 -2.3160e+00 -2.2545e+00 -7.6700e-01 -3.6328e+00 -2.8551e+00 +3.8137e+00 -3.0646e+00 -9.1082e-01 +7.5854e-01 -2.9802e+00 -7.4244e-01 -9.5087e-01 -3.5964e+00 -4.7423e-01 -4.8076e+00 -1.5953e-01 -3.3637e+00
22 +2.258127790e+01 +2.258127790e+01 -7.996872210e+01 -7.996872210e+01 -9.9769e-01 -2.2690e+00 +7.0920e-01 +3.2899e+00 -6.0315e-01 +2.2109e+00 +3.3057e+00 -5.7420e-01 +1.1088e-01 -2.4254e+00 -1.3132e+00 -2.5177e+00 +2.7205e-01 +8.4081e-01 +7.3264e-01 +3.1582e+00 -9.5815e-01 +4.2972e+00 +1.2418e-01 -3.5171e+00
110 +1.573381737e+01 +1.573381737e+01 -8.681618263e+01 -8.681618263e+01 -2.3558e+00 +2.9100e+00 +2.8284e+00 -9.9951e-02 +0.0000e+00 +6.0278e-01 -3.5893e+00 +1.1526e+00 -1.0772e+00 -2.9060e+00 -3.8602e-01 +0.0000e+00 +1.5195e+00 +1.1747e+00 +2.6593e+00 +4.5432e-02 -2.6939e+00 -6.9973e-02 -1.2567e+00 -5.1321e-01
370 +9.214066621e+00 +9.214066621e+00 -9.333593338e+01 -9.333593338e+01 +2.3956e+00 -2.6996e-01 -2.7984e+00 -9.2634e-01 -2.8417e+00 +1.7565e+00 +1.5030e+00 -4.4508e-01 +1.1929e+00 +9.4842e-01 -2.7578e-02 -3.4267e-01 -1.2117e+00 +3.3173e-01 -1.6020e+00 +4.6150e-01 +3.5455e-01 -1.4496e-01 -2.0035e+00 +7.6448e-01
1934 +6.168527151e+00 +6.168527151e+00 -9.638147285e+01 -9.638147285e+01 -1.0543e-01 +3.3855e-01 -1.8860e+00 -2.3270e+00 -1.1450e-01 -9.4113e-01 +5.0803e-01 +7.9929e-01 +7.7230e-01 -2.2872e+00 -2.5049e+00 +7.9249e-01 +1.9571e+00 +1.0161e+00 +1.2078e+00 +5.5994e-01 -1.2625e+00 -6.3214e-01 -2.1155e+00 -5.5581e-01
140716 +3.892547571e+00 +3.892547571e+00 -9.865745243e+01 -9.865745243e+01 -7.6889e-01 -1.7744e+00 +4.8643e-01 -1.6483e+00 +4.9773e-01 +4.5964e-01 -9.6341e-01 -6.0714e-01 +9.4054e-01 -2.5700e-01 -9.4789e-01 +2.0128e+00 -4.3538e-01 +5.8480e-01 +8.8303e-01 +3.9392e-01 -3.9814e-01 +6.1184e-01 -2.1408e+00 -1.2974e+00
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.969219592e+01 +8.969219592e+01 +1.613821959e+02 +1.613821959e+02 +5.0269e-01 -5.2102e-01 +3.6068e+00 -2.7437e-01 +4.8828e+00 +7.2068e-01 -1.8306e+00 +6.7258e-01 +3.1064e+00 -4.5009e+00 +4.7815e+00 -4.8652e-01 +1.8977e+00 +4.0878e+00 -2.9376e+00 -3.7506e+00 +4.0078e+00 +3.6781e+00 +2.6278e+00 +3.4794e+00
3 +4.208466559e+01 +4.208466559e+01 +1.137746656e+02 +1.137746656e+02 -7.2745e-01 +4.3844e+00 +2.8497e-01 -3.4964e+00 +2.5719e+00 +3.1818e+00 +4.3645e+00 +7.6167e-01 +1.5570e+00 -6.0455e-01 -4.7870e-01 +2.1576e+00 -4.0471e+00 +3.9670e+00 +2.6064e+00 +3.4772e+00 -9.1927e-02 -5.5439e-01 +1.6206e+00 -2.7952e+00
13 +2.548036251e+01 +2.548036251e+01 +9.717036251e+01 +9.717036251e+01 -3.4604e+00 +1.7445e+00 +2.7368e+00 +1.1527e+00 -3.5747e+00 -9.8903e-02 -1.9318e+00 +6.7306e-01 -3.1167e+00 -3.5993e+00 +1.3368e+00 +1.0913e+00 +5.0027e-01 -2.1712e+00 -9.1026e-01 +1.6008e+00 +1.3011e+00 +1.3590e+00 -1.2996e+00 +4.2424e+00
38 +1.850630130e+01 +1.850630130e+01 +9.019630130e+01 +9.019630130e+01 -2.0553e+00 +1.9193e+00 -2.7848e-01 +1.1390e+00 -1.2709e+00 +1.1907e+00 +3.8676e+00 +3.0366e-01 +1.3971e+00 +7.3145e-01 +1.3381e+00 +6.7688e-02 +4.6382e+00 +3.4716e+00 -2.4366e+00 +3.1811e+00 +1.9148e+00 -1.0576e+00 -2.4991e+00 -1.1581e+00
91 +1.292317934e+01 +1.292317934e+01 +8.461317934e+01 +8.461317934e+01 -1.9394e+00 -1.3564e+00 -2.3210e+00 +3.1336e+00 +3.0321e+00 -1.2855e+00 +1.8534e+00 -6.5801e-02 +2.1571e+00 +9.8798e-02 +1.1731e+00 -2.4152e+00 +2.0130e+00 +7.2488e-01 -1.4796e+00 +2.8327e+00 +2.1286e+00 +1.5017e+00 -5.2563e-01 +6.1637e-01
828 +8.517424827e+00 +8.517424827e+00 +8.020742483e+01 +8.020742483e+01 +4.5086e-01 -9.6799e-01 +1.7260e+00 +8.8738e-01 -3.1879e-02 -1.0717e+00 -1.4680e+00 +7.0070e-01 +7.1250e-01 +1.1509e+00 +3.5215e-01 -8.6807e-01 +3.5046e+00 +1.9541e+00 -8.0188e-01 -5.6953e-01 +1.0473e+00 +4.4265e-01 +4.7199e-01 +4.0798e-01
2560 +5.608388180e+00 +5.608388180e+00 +7.729838818e+01 +7.729838818e+01 +5.4922e-01 -1.0411e+00 +1.4063e+00 -7.2301e-01 +1.9100e-01 -2.9261e+00 -5.9038e-01 +4.2428e-01 -1.3096e+00 +7.1976e-01 +2.0649e+00 -9.5437e-01 +2.8850e+00 -1.4011e-01 -1.2455e+00 -1.3897e+00 -1.7659e+00 +1.4854e-02 -1.1117e+00 +2.7012e-01
